sch_zip
01001
01069
01518
01561
01605
01803
02116
02351
02382
02571
02720
02747
02780
02840
02893
03079
03894
04096
04217
04252
04401
04468
05832
05855
06001
06040
06770
06787
06804
06851
06854
07018
07036
07040
07103
07109
07302
07442
07738
07747
07879
08002
08034
08068
08080
08109
08110
08234
08344
08360
08648
08902
10022
10023
10029
10306
10463
10468
10469
10591
10706
10710
11101
11201
11204
11207
11214
11356
11361
11373
11375
11432
11553
11725
11756
11771
11901
11953
12077
12208
12520
12533
12564
12603
12771
12974
12986
13080
13421
13619
13905
14057
14127
14201
14209
14221
14468
14564
14744
14870
15009
15214
15317
15666
15729
15905
16117
16371
16506
17061
17062
17109
17402
17538
18102
18301
18707
18853
19030
19047
19073
19085
19087
19107
19130
19136
19145
19464
19508
19606
19947
19958
20011
20017
20147
20678
20705
20707
20745
20814
20855
20860
21014
21202
21209
21224
21286
21502
22003
22030
22309
22846
22960
23005
23112
23188
23322
23456
23464
23487
23502
23517
24477
25045
25661
25958
26062
26101
26301
26554
27203
27408
27513
27533
27603
27701
27707
27858
27909
28054
28078
28090
28112
28152
28160
28210
28226
28303
28339
28360
28443
28518
28677
28713
28732
28779
29003
29033
29063
29072
29301
29445
29575
29673
29706
29832
29902
30024
30032
30047
30066
30075
30076
30078
30083
30088
30189
30204
30253
30281
30290
30311
30316
30345
30349
30909
31078
31088
31305
31324
31401
31404
31405
31717
31730
31906
32025
32095
32205
32246
32312
32444
32462
32503
32526
32570
32578
32773
32804
32935
32963
33015
33018
33146
33166
33169
33183
33312
33325
33332
33334
33409
33460
33496
33513
33612
33709
33761
33777
33809
33844
33948
34142
34232
34654
34744
35020
35045
35083
35209
35401
35405
35406
35453
35674
35801
35816
36040
36107
36401
36544
36608
36866
37064
37110
37185
37211
37212
37303
37332
37341
37401
37404
37421
37721
37818
38127
38668
38801
38901
39341
39367
39401
39452
39482
39501
39503
39567
39577
39759
40204
40212
40241
40299
40422
40484
40769
41001
41015
42633
43081
43085
43209
43229
43420
43605
44041
44052
44105
44113
44118
44130
44147
44224
44260
44312
44408
44641
44646
44805
44890
44902
45013
45042
45122
45205
45219
45224
45245
45255
45333
45365
45420
45459
45503
45662
45784
45833
46112
46227
46327
46373
46382
46514
46614
46733
46761
46774
46805
46825
47025
47130
47265
47720
48071
48074
48098
48180
48192
48224
48234
48239
48309
48313
48340
48505
48637
48653
48770
49031
49038
49072
49085
49104
49319
49503
49504
49509
49659
50125
50255
50313
50315
51445
53074
53105
53144
53204
53206
53209
53217
53220
53570
53711
53807
54220
54452
54601
54984
55044
55056
55060
55104
55109
55112
55117
55120
55386
55411
55439
55443
55768
55812
55951
56071
56159
56470
56671
57039
57235
57301
59015
59034
59101
59701
59752
60008
60010
60064
60068
60103
60126
60136
60137
60171
60411
60416
60438
60451
60463
60465
60473
60505
60539
60615
60617
60620
60625
60637
60641
60643
60652
60655
60804
61244
61752
61760
61938
62080
62095
62226
62230
62311
62549
62707
63077
63090
63119
63630
63775
64014
64050
64128
64831
64865
65101
65637
65775
65807
65809
66025
66062
66102
66205
66436
66502
67301
67337
67801
68047
68506
70001
70121
70122
70125
70130
70343
70392
70555
70582
70774
70806
70816
71073
71111
71129
71282
71303
71765
71923
72331
72335
72401
72450
72701
72756
72941
73049
73065
73084
73129
73505
74037
74429
74569
75007
75069
75227
75229
75572
75606
75647
75755
75901
75951
75961
76103
76111
76116
77015
77024
77033
77039
77051
77304
77353
77575
77659
78040
78154
78155
78212
78213
78238
78251
78253
78381
78521
78539
78550
78572
78596
78606
78644
78704
79059
79095
79336
79760
79902
79915
80022
80209
80210
80226
80917
80920
81521
81650
82935
83204
83274
84003
84021
84078
84103
84302
84770
85012
85204
85259
85327
85353
85364
85533
85710
85719
86333
86401
87110
87124
87417
87501
89049
89101
89445
90011
90033
90037
90255
90630
90703
90706
91007
91011
91202
91364
91702
91710
91764
91801
91932
91941
92154
92201
92243
92250
92335
92345
92374
92503
92505
92506
92544
92545
92553
92557
92562
92584
92592
92629
92688
93277
93291
93306
93436
93536
93640
93703
93704
93706
93710
93955
94044
94112
94122
94124
94132
94402
94403
94501
94561
94587
94591
94605
94611
95121
95206
95209
95350
95367
95470
95492
95531
95608
95628
95926
96007
96022
96025
96706
96720
96791
96816
96817
96822
97005
97206
97223
97330
97415
97444
97526
97701
98004
98040
98133
98148
98168
98198
98261
98371
98516
99004
99022
99037
99207
99301
99577
