zips,cbsa,cbsa_type
80909,17820,1
81506,24300,1
81082,-2,-2
80840,17820,1
81231,-2,-2
06511,35300,1
06082,25540,1
06489,25540,1
06604,14860,1
06050,25540,1
06053,25540,1
06320,35980,1
06269,25540,1
06226,48740,2
06824,14860,1
06103,25540,1
06117,25540,1
06416,25540,1
06855,14860,1
06371,35980,1
06045,25540,1
06708,35300,1
06457,25540,1
06360,35980,1
06516,35300,1
06854,14860,1
06098,45860,2
06514,35300,1
06723,35300,1
06239,48740,2
06518,35300,1
06825,14860,1
06606,14860,1
06515,35300,1
06106,25540,1
06032,25540,1
06459,25540,1
06810,14860,1
06520,35300,1
19947,42580,2
19901,20100,1
19702,37980,1
19716,37980,1
19808,37980,1
19720,37980,1
20016,47900,1
20064,47900,1
20006,47900,1
20008,47900,1
20002,47900,1
20052,47900,1
20057,47900,1
20059,47900,1
20024,47900,1
20005,47900,1
20017,47900,1
33316,33100,1
32440,-2,-2
33161,33100,1
32114,19660,1
33431,33100,1
32922,37340,1
33301,33100,1
33172,33100,1
34474,36100,1
34744,36740,1
32816,36740,1
32446,-2,-2
33759,45300,1
33711,45300,1
33919,15980,1
32209,27260,1
32307,45220,1
32202,27260,1
32084,27260,1
33617,45300,1
32803,36740,1
32901,37340,1
33199,33100,1
33040,28580,2
33054,33100,1
33174,33100,1
33801,29460,1
32306,45220,1
32826,36740,1
32211,27260,1
32611,23540,1
33062,33100,1
32792,36740,1
32401,37460,1
33606,45300,1
33455,38940,1
34981,38940,1
33634,45300,1
33132,33100,1
33169,33100,1
33309,33100,1
32025,29380,2
34788,36740,1
30038,12060,1
34207,42260,1
33124,33100,1
33612,45300,1
33619,45300,1
32340,-2,-2
32224,27260,1
33314,33100,1
32578,23020,1
32810,36740,1
33401,33100,1
33461,33100,1
34654,45300,1
32504,37860,1
33881,29460,1
34234,42260,1
32789,36740,1
33574,45300,1
32606,23540,1
34235,42260,1
32773,36740,1
33165,33100,1
32177,37260,2
33825,42700,2
33620,45300,1
32723,19660,1
32304,45220,1
33139,33100,1
33614,45300,1
32221,27260,1
34655,45300,1
32801,36740,1
33859,29460,1
33827,29460,1
32514,37860,1
31793,45700,2
30030,12060,1
30341,12060,1
31707,10500,1
31705,10500,1
30326,12060,1
39840,-2,-2
31419,42340,1
30328,12060,1
30344,12060,1
30310,12060,1
30314,12060,1
30906,12260,1
30904,12260,1
39819,12460,2
30313,12060,1
30149,40660,1
30316,12060,1
30501,23580,1
30445,-2,-2
31520,15260,1
30182,12060,1
30260,12060,1
31904,17980,1
31907,17980,1
30750,16860,1
30720,19140,1
31406,42340,1
30401,-2,-2
30639,-2,-2
30322,12060,1
30162,40660,1
31030,22980,2
30332,12060,1
31709,11140,2
30566,23580,1
31061,33300,2
30460,44340,2
30303,12060,1
30602,12020,1
30204,12060,1
30223,12060,1
30035,12060,1
30043,12060,1
30144,12060,1
30240,29300,2
30060,12060,1
31206,31420,1
30912,12260,1
31207,31420,1
31014,-2,-2
30597,-2,-2
30319,12060,1
30901,12260,1
30535,18460,2
30183,12060,1
31405,42340,1
31402,42340,1
31404,42340,1
30165,40660,1
31533,20060,2
31792,45620,2
30598,45740,2
30528,-2,-2
31698,46660,1
30739,16860,1
31503,48180,2
31210,31420,1
30118,12060,1
30582,-2,-2
96814,26180,1
96816,26180,1
96720,25900,2
96822,26180,1
96813,26180,1
96817,26180,1
96766,28180,2
96782,26180,1
96732,27980,2
96744,26180,1
83714,14260,1
83725,14260,1
83404,26820,1
83209,38540,1
83844,34140,2
83605,14260,1
83501,30300,1
83713,14260,1
83814,17660,1
83686,14260,1
83460,39940,2
83301,46300,2
60604,16980,1
60603,16980,1
60622,16980,1
61201,19340,1
60506,16980,1
62221,41180,1
61265,19340,1
62626,41180,1
62305,39500,2
61625,37900,1
61401,23660,2
60515,16980,1
60628,16980,1
60637,16980,1
60621,16980,1
60612,16980,1
60640,16980,1
60652,16980,1
60601,16980,1
60634,16980,1
60605,16980,1
60305,16980,1
60610,16980,1
61832,19180,1
60137,16980,1
61920,16660,2
60123,16980,1
60126,16980,1
61530,37900,1
60466,16980,1
62246,41180,1
60606,16980,1
60077,16980,1
61032,23300,2
60064,16980,1
60607,16980,1
60532,16980,1
60616,16980,1
61820,16580,1
61702,14060,1
61635,37900,1
62650,27300,2
62450,-2,-2
61790,14060,1
61348,36860,2
