UNITID,ADMCON1,ADMCON2,ADMCON3,ADMCON4,ADMCON5,ADMCON6,ADMCON7,ADMCON8,ADMCON9,ADMCON10,ADMCON11,ADMCON12,XAPPLCN,APPLCN,XAPPLCNM,APPLCNM,XAPPLCNW,APPLCNW,XAPPLCNAN,APPLCNAN,XAPPLCNUN,APPLCNUN,XADMSSN,ADMSSN,XADMSSNM,ADMSSNM,XADMSSNW,ADMSSNW,XADMSSNAN,ADMSSNAN,XADMSSNUN,ADMSSNUN,XENRLT,ENRLT,XENRLM,ENRLM,XENRLW,ENRLW,XENRLAN,ENRLAN,XENRLUN,ENRLUN,XENRLFT,ENRLFT,XENRLFTM,ENRLFTM,XENRLFTW,ENRLFTW,XENRLFTAN,ENRLFTAN,XENRLFTUN,ENRLFTUN,XENRLPT,ENRLPT,XENRLPTM,ENRLPTM,XENRLPTW,ENRLPTW,XENRLPTAN,ENRLPTAN,XENRLPTUN,ENRLPTUN,XSATNUM,SATNUM,XSATPCT,SATPCT,XACTNUM,ACTNUM,XACTPCT,ACTPCT,XSATVR25,SATVR25,XSATVR50,SATVR50,XSATVR75,SATVR75,XSATMT25,SATMT25,XSATMT50,SATMT50,XSATMT75,SATMT75,XACTCM25,ACTCM25,XACTCM50,ACTCM50,XACTCM75,ACTCM75,XACTEN25,ACTEN25,XACTEN50,ACTEN50,XACTEN75,ACTEN75,XACTMT25,ACTMT25,XACTMT50,ACTMT50,XACTMT75,ACTMT75
100654,1,3,1,3,3,3,5,1,3,3,3,3,R,23406,R,7568,R,14930,Z,0,R,908,R,13564,R,4580,R,8981,A,,R,3,R,1968,R,832,R,1136,A,,R,0,R,1939,R,818,R,1121,A,,R,0,R,29,R,14,R,15,A,,R,0,R,537,R,27,R,1317,R,67,R,420,R,470,R,530,R,390,R,440,R,510,R,14,R,17,R,19,R,13,R,16,R,19,R,14,R,16,R,17
100663,1,3,1,1,3,3,5,3,3,3,3,3,R,11379,R,4211,R,7144,A,,R,24,R,10034,R,3593,R,6420,A,,R,21,R,2014,R,679,R,1330,A,,R,5,R,1993,R,668,R,1320,A,,R,5,R,21,R,11,R,10,A,,R,0,R,88,R,4,R,860,R,43,R,600,R,660,R,710,R,610,R,680,R,740,R,23,R,26,R,30,R,23,R,27,R,32,R,20,R,25,R,27
100706,1,3,1,3,3,3,5,1,3,3,3,3,R,7630,R,3805,R,3789,R,21,R,15,R,5232,R,2788,R,2426,R,8,R,10,R,1212,R,763,R,449,R,0,R,0,R,1200,R,759,R,441,A,,R,0,R,12,R,4,R,8,A,,R,0,R,57,R,5,R,680,R,56,R,600,R,650,R,690,R,610,R,660,R,720,R,24,R,28,R,31,R,24,R,28,R,33,R,23,R,26,R,30
100724,1,3,1,3,3,3,5,1,3,1,1,5,R,7229,R,2311,R,4886,S,,S,,R,7052,R,2247,R,4774,S,,S,,R,1056,R,357,R,698,S,,S,,R,1053,R,356,R,696,S,,S,,R,3,R,1,R,2,S,,S,,R,11,R,1,R,356,R,34,R,399,R,452,R,505,R,350,R,406,R,462,R,15,R,18,R,20,R,14,R,18,R,22,R,15,R,17,R,19
100751,1,5,1,1,3,3,5,1,3,5,5,3,R,56795,R,23104,R,33691,A,,R,0,R,43531,R,17506,R,26025,A,,R,0,R,8032,R,3362,R,4670,A,,R,0,R,7973,R,3336,R,4637,A,,R,0,R,59,R,26,R,33,A,,R,0,R,1218,R,15,R,3477,R,43,R,590,R,640,R,690,R,580,R,630,R,710,R,24,R,27,R,31,R,23,R,27,R,33,R,21,R,25,R,29
100830,1,5,1,3,3,3,5,1,3,3,3,3,R,2694,R,1027,R,1665,S,,S,,R,2467,R,940,R,1525,S,,S,,R,364,R,140,R,224,S,,S,,R,346,R,134,R,212,S,,S,,R,18,R,6,R,12,S,,S,,R,20,R,6,R,237,R,65,R,538,R,570,R,603,R,498,R,560,R,600,R,18,R,21,R,24,R,17,R,21,R,24,R,16,R,18,R,23
100858,1,5,1,1,5,3,5,1,3,3,3,3,R,55056,R,22200,R,32856,A,,R,0,R,25284,R,10586,R,14698,A,,R,0,R,6103,R,2822,R,3281,A,,R,0,R,6081,R,2807,R,3274,A,,R,0,R,22,R,15,R,7,A,,R,0,R,925,R,15,R,4553,R,75,R,630,R,660,R,690,R,630,R,660,R,700,R,26,R,29,R,31,R,25,R,29,R,33,R,24,R,26,R,29
101189,1,3,1,3,3,3,5,1,3,3,3,3,R,1073,R,432,R,611,A,,R,30,R,784,R,344,R,440,A,,R,0,R,269,R,139,R,130,A,,R,0,R,232,R,128,R,104,A,,R,0,R,37,R,11,R,26,A,,R,0,R,4,R,2,R,38,R,14,S,,S,,S,,S,,S,,S,,R,18,R,19,R,21,R,15,R,19,R,20,R,16,R,17,R,20
101365,1,3,1,3,3,3,3,1,1,3,3,3,R,89,R,9,R,80,S,,S,,R,83,R,8,R,75,S,,S,,R,58,R,6,R,52,S,,S,,R,10,R,0,R,10,S,,S,,R,48,R,6,R,42,S,,S,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
101435,1,5,1,5,5,5,5,1,3,3,5,5,R,2717,R,1350,R,1363,S,,S,,R,1888,R,944,R,943,S,,S,,R,280,R,163,R,117,S,,S,,R,280,R,163,R,117,S,,S,,R,0,R,0,R,0,S,,S,,R,10,R,4,R,84,R,30,R,533,R,560,R,610,R,473,R,515,R,610,R,20,R,23,R,25,R,18,R,22,R,24,R,18,R,21,R,24
101453,5,5,1,5,1,5,1,1,5,5,1,5,R,10,R,8,R,2,A,,R,0,R,9,R,8,R,1,A,,R,0,R,8,R,7,R,1,A,,R,0,R,5,R,4,R,1,A,,R,0,R,3,R,3,R,0,A,,R,0,R,0,R,0,R,5,R,63,A,,A,,A,,A,,A,,A,,R,18,R,19,R,19,R,16,R,19,R,21,R,16,R,16,R,17
101480,1,3,1,3,3,3,5,1,3,3,3,3,R,11199,R,4115,R,7084,A,,R,0,R,8701,R,3208,R,5493,A,,R,0,R,1737,R,699,R,1038,A,,R,0,R,1722,R,692,R,1030,A,,R,0,R,15,R,7,R,8,A,,R,0,R,97,R,6,R,786,R,45,R,500,R,570,R,630,R,500,R,560,R,660,R,17,R,20,R,24,R,16,R,21,R,25,R,16,R,18,R,22
101587,1,3,1,5,3,3,5,5,3,3,3,3,R,2729,R,973,R,1756,Z,0,R,0,R,1164,R,436,R,728,A,,R,0,R,389,R,142,R,247,A,,R,0,R,383,R,139,R,244,A,,R,0,R,6,R,3,R,3,A,,R,0,R,13,R,3,R,239,R,61,R,440,R,460,R,560,R,420,R,470,R,560,R,16,R,19,R,21,R,15,R,18,R,21,R,15,R,17,R,19
101648,1,3,3,3,5,3,1,3,3,3,3,3,R,404,R,279,R,125,R,0,R,0,R,392,R,273,R,119,A,,R,0,R,200,R,142,R,58,A,,R,0,R,200,R,142,R,58,A,,R,0,A,,A,,A,,A,,A,,R,71,R,36,R,158,R,79,R,520,R,595,R,640,R,520,R,580,R,630,R,16,R,19,R,23,R,14,R,19,R,23,R,15,R,17,R,22
101693,1,3,5,3,3,3,5,1,3,3,3,3,R,1805,R,479,R,1305,A,,R,21,R,1406,R,373,R,1033,A,,R,0,R,273,R,91,R,182,A,,R,0,R,271,R,90,R,181,A,,R,0,R,2,R,1,R,1,A,,R,0,R,4,R,3,R,73,R,27,S,,S,,S,,S,,S,,S,,R,22,R,25,R,28,R,20,R,25,R,29,R,19,R,23,R,25
101709,1,3,1,3,3,3,3,1,3,3,3,3,R,6280,R,2032,R,3806,A,,R,442,R,3382,R,1111,R,2121,A,,R,150,R,559,R,223,R,311,A,,R,25,R,552,R,221,R,308,A,,R,23,R,7,R,2,R,3,A,,R,2,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
101879,1,3,1,3,3,3,3,1,3,3,3,3,R,5052,R,1817,R,3235,A,,R,0,R,4411,R,1573,R,2838,A,,R,0,R,992,R,360,R,632,A,,R,0,R,876,R,306,R,570,A,,R,0,R,116,R,54,R,62,A,,R,0,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
101912,1,3,1,3,5,3,3,1,3,3,5,3,R,1873,R,754,R,1098,S,,S,,R,847,R,359,R,486,S,,S,,R,255,R,124,R,131,S,,S,,R,255,R,124,R,131,S,,S,,R,0,R,0,R,0,S,,S,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
102049,1,5,1,5,1,5,5,1,3,5,1,3,R,4559,R,1596,R,2963,A,,R,0,R,3755,R,1256,R,2499,A,,R,0,R,1087,R,359,R,728,A,,R,0,R,1087,R,359,R,728,A,,R,0,Z,0,Z,0,Z,0,A,,R,0,R,267,R,25,R,713,R,66,R,550,R,590,R,640,R,520,R,560,R,610,R,22,R,25,R,28,R,22,R,25,R,30,R,19,R,24,R,26
102094,1,3,1,3,3,3,5,1,3,3,3,3,R,12982,R,4626,R,8311,S,,S,,R,9212,R,3205,R,5980,S,,S,,R,1939,R,699,R,1234,S,,S,,R,1919,R,688,R,1225,S,,S,,R,20,R,11,R,9,S,,S,,R,109,R,6,R,1623,R,84,R,500,R,560,R,610,R,470,R,550,R,580,R,20,R,23,R,26,R,19,R,22,R,26,R,17,R,20,R,25
102234,1,3,5,5,5,3,5,1,3,3,5,3,R,2420,R,783,R,1547,R,90,R,0,R,1853,R,570,R,1225,R,58,R,0,R,153,R,56,R,97,R,0,R,0,R,153,R,56,R,97,A,,R,0,R,0,R,0,R,0,A,,R,0,R,1,R,1,R,82,R,54,S,,S,,S,,S,,S,,S,,R,17,R,22,R,29,R,15,R,23,R,31,R,15,R,20,R,28
102270,1,3,1,3,3,3,3,1,3,3,3,3,R,3094,R,1061,R,2011,A,,R,22,R,1926,R,608,R,1308,A,,R,10,R,148,R,75,R,73,A,,R,0,R,134,R,69,R,65,A,,R,0,R,14,R,6,R,8,A,,R,0,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
102298,1,5,5,1,5,5,3,1,5,5,5,5,R,10307,R,3795,R,6512,A,,R,0,R,8804,R,3144,R,5660,A,,R,0,R,244,R,131,R,113,A,,R,0,R,242,R,130,R,112,A,,R,0,R,2,R,1,R,1,A,,R,0,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
102368,1,3,1,5,3,3,5,1,5,3,3,3,R,9474,R,3731,R,5743,R,0,R,0,R,9099,R,3599,R,5500,A,,R,0,R,1881,R,759,R,1122,A,,R,0,R,1650,R,660,R,990,A,,R,0,R,231,R,99,R,132,A,,R,0,R,115,R,6,R,1051,R,56,R,490,R,550,R,620,R,450,R,520,R,590,R,18,R,21,R,25,R,18,R,22,R,26,R,16,R,19,R,24
102377,1,5,1,5,5,5,5,1,3,3,5,3,R,11632,R,3396,R,8236,A,,R,0,R,5663,R,1542,R,4121,A,,R,0,R,787,R,311,R,476,A,,R,0,R,786,R,310,R,476,A,,R,0,R,1,R,1,R,0,A,,R,0,R,4,R,1,R,200,R,25,S,,S,,S,,S,,S,,S,,R,18,R,22,R,25,R,17,R,21,R,25,R,18,R,20,R,23
102395,1,3,1,3,3,3,3,1,3,3,3,3,R,277,R,198,R,79,A,,R,0,R,170,R,116,R,54,A,,R,0,R,76,R,55,R,21,A,,R,0,R,73,R,53,R,20,A,,R,0,R,3,R,2,R,1,A,,R,0,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
102632,1,3,1,5,3,5,3,1,3,5,3,3,R,346,R,127,R,219,S,,S,,R,219,R,101,R,118,S,,S,,R,165,R,68,R,97,S,,S,,R,90,R,40,R,50,S,,S,,R,75,R,28,R,47,S,,S,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
102669,1,3,1,3,3,3,3,1,3,3,3,3,R,592,R,185,R,407,S,,S,,R,571,R,178,R,393,S,,S,,R,29,R,10,R,19,S,,S,,R,22,R,8,R,14,S,,S,,R,7,R,2,R,5,S,,S,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
104151,5,5,1,5,3,3,3,1,3,3,3,3,R,70928,R,34345,R,36574,S,,S,,R,63756,R,30552,R,33196,S,,S,,R,14099,R,6832,R,7264,S,,S,,R,13981,R,6777,R,7201,S,,S,,R,118,R,55,R,63,S,,S,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
104179,1,5,1,5,3,3,5,1,5,5,5,3,R,58339,R,25635,R,32704,A,,R,0,R,50252,R,21436,R,28816,A,,R,0,R,9240,R,3714,R,5526,A,,R,0,R,8808,R,3528,R,5280,A,,R,0,R,432,R,186,R,246,A,,R,0,R,1035,R,11,R,1701,R,18,R,580,R,640,R,700,R,570,R,650,R,720,R,21,R,25,R,29,R,20,R,24,R,30,R,19,R,25,R,28
104586,5,5,1,1,5,3,5,1,3,3,5,5,R,4141,R,2784,R,1316,A,,R,41,R,3171,R,2156,R,1002,A,,R,13,R,748,R,525,R,223,A,,R,0,R,742,R,521,R,221,A,,R,0,R,6,R,4,R,2,A,,R,0,R,222,R,30,R,182,R,24,R,580,R,630,R,680,R,560,R,620,R,690,R,24,R,26,R,29,R,22,R,25,R,29,R,22,R,26,R,30
104717,1,3,1,3,3,3,5,1,3,3,5,3,R,51203,R,17546,R,33516,A,,R,141,R,40405,R,14011,R,26385,A,,R,9,R,7306,R,2713,R,4591,A,,R,2,R,6381,R,2472,R,3908,A,,R,1,R,925,R,241,R,683,A,,R,1,R,16,R,1,R,28,R,1,R,518,R,545,R,580,R,488,R,510,R,533,R,20,R,21,R,22,R,18,R,20,R,22,R,17,R,19,R,22
105330,1,3,1,3,3,3,3,1,3,3,3,3,R,35100,R,12779,R,22155,R,166,R,0,R,31453,R,11316,R,19987,R,150,R,0,R,4975,R,1886,R,3068,R,21,R,0,R,4868,R,1846,R,3001,R,21,R,0,R,107,R,40,R,67,R,0,R,0,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
105589,1,3,1,3,5,5,3,1,3,5,5,3,R,164,R,42,R,122,R,0,R,0,R,155,R,39,R,116,A,,R,0,R,9,R,1,R,8,A,,R,0,R,9,R,1,R,8,A,,R,0,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
105899,1,3,1,3,5,3,3,1,5,5,1,3,R,1297,R,784,R,410,A,,R,103,R,916,R,551,R,295,A,,R,70,R,327,R,215,R,112,A,,R,0,R,326,R,215,R,111,A,,R,0,R,1,R,0,R,1,A,,R,0,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
106245,1,3,1,5,3,3,1,1,3,3,3,3,R,4335,R,1550,R,2785,R,0,R,0,R,2548,R,876,R,1672,A,,R,0,R,556,R,231,R,325,A,,R,0,R,526,R,216,R,310,A,,R,0,R,30,R,15,R,15,A,,R,0,R,26,R,5,R,465,R,84,R,490,R,520,R,630,R,470,R,510,R,580,R,17,R,20,R,24,R,17,R,21,R,24,R,16,R,18,R,23
106342,1,3,3,5,3,3,3,3,3,3,5,3,R,1654,R,128,R,104,A,,R,1422,R,1038,R,128,R,104,A,,R,806,R,234,R,128,R,104,A,,R,2,R,234,R,128,R,104,A,,R,2,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
106397,1,5,1,5,3,3,5,5,3,3,5,5,R,30555,R,12589,R,17957,S,,S,,R,22703,R,8894,R,13804,S,,S,,R,6618,R,2773,R,3844,S,,S,,R,6567,R,2756,R,3810,S,,S,,R,51,R,17,R,34,S,,S,,R,2058,R,31,R,4818,R,73,R,520,R,570,R,620,R,510,R,550,R,600,R,21,R,24,R,28,R,20,R,23,R,28,R,18,R,23,R,26
106412,1,3,1,3,3,3,1,1,3,3,3,3,R,6625,R,2655,R,3970,R,0,R,0,R,2728,R,1000,R,1728,A,,R,0,R,411,R,180,R,231,A,,R,0,R,388,R,171,R,217,A,,R,0,R,23,R,9,R,14,A,,R,0,R,54,R,13,R,275,R,67,R,425,R,500,R,570,R,420,R,485,R,538,R,14,R,16,R,18,R,12,R,15,R,19,R,14,R,16,R,17
106458,1,5,1,5,3,3,5,1,3,3,3,3,R,12252,R,5514,R,6736,A,,R,2,R,10078,R,4536,R,5541,A,,R,1,R,1969,R,782,R,1187,A,,R,0,R,1672,R,674,R,998,A,,R,0,R,297,R,108,R,189,A,,R,0,R,50,R,3,R,1543,R,78,R,490,R,530,R,570,R,480,R,570,R,620,R,18,R,21,R,24,R,17,R,21,R,25,R,16,R,19,R,23
106467,1,3,1,5,3,3,1,1,3,3,3,3,R,3654,R,1513,R,2141,R,0,R,0,R,3504,R,1446,R,2058,A,,R,0,R,1179,R,511,R,668,A,,R,0,R,1104,R,486,R,618,A,,R,0,R,75,R,25,R,50,A,,R,0,R,29,R,2,R,1038,R,88,R,450,R,510,R,550,R,430,R,490,R,550,R,17,R,20,R,23,R,17,R,21,R,24,R,16,R,19,R,23
106546,1,3,1,3,3,3,3,1,3,3,3,3,R,22,R,2,R,20,A,,R,0,R,21,R,2,R,19,A,,R,0,R,8,R,1,R,7,A,,R,0,R,0,R,0,R,0,A,,R,0,R,8,R,1,R,7,A,,R,0,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
106704,1,3,3,3,3,3,5,1,3,3,3,3,R,7039,R,2534,R,4505,R,0,R,0,R,6299,R,2232,R,4067,A,,R,0,R,2182,R,824,R,1358,A,,R,0,R,2172,R,822,R,1350,A,,R,0,R,10,R,2,R,8,A,,R,0,R,52,R,2,R,2066,R,95,R,480,R,520,R,590,R,430,R,520,R,580,R,19,R,22,R,25,R,18,R,22,R,26,R,17,R,20,R,24
106713,1,3,1,5,5,5,1,1,3,3,5,3,R,260,R,153,R,107,A,,R,0,R,165,R,94,R,71,A,,R,0,R,109,R,68,R,41,A,,R,0,R,108,R,67,R,41,A,,R,0,R,1,R,1,R,0,A,,R,0,R,12,R,11,R,74,R,69,R,473,R,515,R,553,R,410,R,505,R,568,R,17,R,20,R,23,R,15,R,20,R,23,R,16,R,18,R,22
107044,1,3,1,5,1,3,1,1,3,3,3,3,R,2714,R,1271,R,1442,A,,R,1,R,1914,R,909,R,1005,A,,R,0,R,854,R,413,R,441,A,,R,0,R,845,R,410,R,435,A,,R,0,R,9,R,3,R,6,A,,R,0,R,157,R,18,R,643,R,75,R,530,R,590,R,660,R,520,R,560,R,630,R,20,R,24,R,29,R,20,R,24,R,31,R,18,R,23,R,26
107080,1,5,1,1,5,5,5,1,3,5,1,3,R,3161,R,1709,R,1452,Z,0,R,0,R,1759,R,850,R,909,A,,R,0,R,318,R,163,R,155,A,,R,0,R,318,R,163,R,155,A,,R,0,A,,A,,A,,A,,A,,R,31,R,10,R,158,R,50,R,560,R,610,R,668,R,563,R,630,R,680,R,23,R,27,R,31,R,22,R,27,R,34,R,20,R,25,R,28
107141,1,5,1,3,5,5,5,1,3,3,5,3,R,1647,R,632,R,1015,A,,R,0,R,1254,R,493,R,761,A,,R,0,R,388,R,169,R,219,A,,R,0,R,381,R,166,R,215,A,,R,0,R,7,R,3,R,4,A,,R,0,R,41,R,11,R,195,R,50,R,550,R,630,R,690,R,520,R,590,R,650,R,21,R,24,R,28,R,21,R,24,R,28,R,19,R,23,R,26
107512,5,5,1,3,5,3,5,1,3,3,3,3,R,2155,R,914,R,1235,A,,R,6,R,1455,R,605,R,845,A,,R,5,R,421,R,188,R,233,A,,R,0,R,421,R,188,R,233,A,,R,0,Z,0,Z,0,Z,0,A,,R,0,R,65,R,15,R,313,R,74,R,540,R,590,R,650,R,530,R,580,R,630,R,22,R,25,R,28,R,21,R,25,R,29,R,19,R,23,R,26
107558,1,3,1,5,5,5,5,5,3,5,5,3,R,2230,R,883,R,1345,A,,R,2,R,1327,R,488,R,838,A,,R,1,R,208,R,94,R,114,A,,R,0,R,208,R,94,R,114,A,,R,0,R,0,R,0,R,0,A,,R,0,R,25,R,26,R,72,R,74,R,530,R,550,R,590,R,490,R,510,R,570,R,20,R,22,R,25,R,19,R,21,R,24,R,18,R,21,R,23
107585,5,3,1,3,3,3,1,1,1,3,3,3,R,794,R,356,R,433,S,,S,,R,794,R,356,R,433,S,,S,,R,415,R,195,R,217,S,,S,,R,349,R,171,R,175,S,,S,,R,66,R,24,R,42,S,,S,,R,1,R,0,R,260,R,63,S,,S,,S,,S,,S,,S,,R,17,R,19,R,22,R,15,R,19,R,22,R,16,R,18,R,21
107877,1,1,1,3,3,3,5,1,3,3,3,3,R,609,R,213,R,396,A,,R,0,R,508,R,171,R,337,A,,R,0,R,147,R,57,R,90,A,,R,0,R,147,R,57,R,90,A,,R,0,R,0,R,0,R,0,A,,R,0,R,1,R,1,R,140,R,95,S,,S,,S,,S,,S,,S,,R,16,R,18,R,21,R,15,R,18,R,22,R,15,R,17,R,20
107983,1,1,1,3,3,3,1,1,3,3,5,3,R,2708,R,1009,R,1673,A,,R,26,R,2040,R,755,R,1265,A,,R,20,R,709,R,302,R,397,A,,R,10,R,705,R,300,R,395,A,,R,10,R,4,R,2,R,2,A,,R,0,R,51,R,7,R,708,R,100,R,450,R,500,R,565,R,425,R,500,R,540,R,17,R,20,R,24,R,16,R,20,R,23,R,16,R,18,R,22
108092,1,3,1,1,3,3,1,5,1,3,3,3,R,2769,R,903,R,1866,A,,R,0,R,2228,R,732,R,1496,A,,R,0,R,895,R,328,R,567,A,,R,0,R,796,R,278,R,518,A,,R,0,R,99,R,50,R,49,A,,R,0,R,0,R,0,R,688,R,77,A,,A,,A,,A,,A,,A,,R,18,R,20,R,23,R,18,R,21,R,24,R,16,R,19,R,23
108852,1,3,1,3,1,1,3,3,3,3,1,3,R,93,R,30,R,56,S,,S,,R,77,R,24,R,49,S,,S,,R,14,R,3,R,10,S,,S,,R,14,R,3,R,10,S,,S,,A,,A,,A,,S,,S,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
108861,5,5,5,5,1,5,3,5,5,5,1,3,R,18,R,10,R,8,A,,R,0,R,16,R,8,R,8,A,,R,0,R,8,R,5,R,3,A,,R,0,R,0,R,0,R,0,A,,R,0,R,8,R,5,R,3,A,,R,0,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
109651,5,3,1,5,5,1,3,1,3,5,1,3,R,1461,R,432,R,1029,S,,S,,R,1089,R,302,R,787,S,,S,,R,343,R,125,R,218,S,,S,,R,343,R,125,R,218,S,,S,,A,,A,,A,,S,,S,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
109785,1,3,1,5,5,3,5,1,3,3,5,5,R,3404,R,1196,R,2180,S,,S,,R,3010,R,1092,R,1893,S,,S,,R,412,R,162,R,250,S,,S,,R,410,R,161,R,249,S,,S,,R,2,R,1,R,1,S,,S,,R,12,R,3,R,7,R,2,R,515,R,585,R,615,R,468,R,520,R,623,R,25,R,29,R,30,R,25,R,32,R,34,R,23,R,26,R,28
110097,1,3,1,3,3,3,5,1,3,3,1,3,R,3781,R,1510,R,2271,A,,R,0,R,2811,R,1020,R,1791,A,,R,0,R,836,R,332,R,504,A,,R,0,R,818,R,321,R,497,A,,R,0,R,18,R,11,R,7,A,,R,0,R,172,R,21,R,70,R,8,R,600,R,650,R,700,R,560,R,615,R,670,R,24,R,26,R,29,R,23,R,26,R,32,R,20,R,25,R,27
110361,1,5,1,5,5,3,3,5,3,3,5,3,R,7990,R,2830,R,5160,R,0,R,0,R,6782,R,2363,R,4419,A,,R,0,R,1612,R,583,R,1029,A,,R,0,R,1590,R,579,R,1011,A,,R,0,R,22,R,4,R,18,A,,R,0,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
110370,1,3,1,5,1,1,3,1,3,3,3,3,R,2371,R,558,R,1802,S,,S,,R,2160,R,489,R,1662,S,,S,,R,172,R,51,R,117,S,,S,,R,171,R,50,R,117,S,,S,,R,1,R,1,R,0,S,,S,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
110404,5,5,1,5,1,5,3,1,3,5,1,3,R,13856,R,9401,R,4446,S,,S,,R,356,R,166,R,190,S,,S,,R,218,R,107,R,111,S,,S,,R,218,R,107,R,111,S,,S,,A,,A,,A,,S,,S,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
110413,1,5,1,1,1,3,5,5,3,3,1,5,R,6005,R,2594,R,3398,A,,R,13,R,4544,R,1944,R,2596,A,,R,4,R,502,R,231,R,271,A,,R,0,R,502,R,231,R,271,A,,R,0,A,,A,,A,,A,,A,,R,65,R,13,R,16,R,3,R,590,R,650,R,670,R,560,R,620,R,660,R,24,R,26,R,31,R,24,R,26,R,30,R,22,R,26,R,26
110422,1,3,1,1,3,3,3,1,3,5,3,3,R,68371,R,33952,R,34419,S,,S,,R,21416,R,9124,R,12292,S,,S,,R,5271,R,2432,R,2839,S,,S,,R,5260,R,2427,R,2833,S,,S,,R,11,R,5,R,6,S,,S,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
110468,1,3,1,3,5,3,3,1,1,5,1,5,R,6,R,1,R,5,A,,R,0,R,0,R,0,R,0,A,,R,0,R,0,R,0,R,0,A,,R,0,R,0,R,0,R,0,A,,R,0,R,0,R,0,R,0,A,,R,0,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
110486,1,3,1,1,3,3,3,1,3,5,3,3,R,13229,R,5475,R,7754,S,,S,,R,12416,R,5106,R,7310,S,,S,,R,1294,R,462,R,832,S,,S,,R,1263,R,453,R,810,S,,S,,R,31,R,9,R,22,S,,S,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
110495,1,3,1,1,3,3,3,1,3,5,3,3,R,5419,R,1941,R,3478,S,,S,,R,5318,R,1899,R,3419,S,,S,,R,1018,R,354,R,664,S,,S,,R,960,R,333,R,627,S,,S,,R,58,R,21,R,37,S,,S,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
110510,1,3,1,1,3,3,3,1,3,5,3,3,R,14543,R,5782,R,8761,S,,S,,R,13632,R,5335,R,8297,S,,S,,R,2090,R,796,R,1294,S,,S,,R,2016,R,762,R,1254,S,,S,,R,74,R,34,R,40,S,,S,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
110529,1,3,1,1,3,3,3,1,3,5,3,3,R,49944,R,25834,R,24110,S,,S,,R,37545,R,17718,R,19827,S,,S,,R,4679,R,2646,R,2033,S,,S,,R,4586,R,2593,R,1993,S,,S,,R,93,R,53,R,40,S,,S,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
