UNITID,ADMCON1,ADMCON2,ADMCON3,ADMCON4,ADMCON5,ADMCON6,ADMCON7,ADMCON8,ADMCON9,ADMCON10,ADMCON11,ADMCON12,XAPPLCN,APPLCN,XAPPLCNM,APPLCNM,XAPPLCNW,APPLCNW,XAPPLCNAN,APPLCNAN,XAPPLCNUN,APPLCNUN,XADMSSN,ADMSSN,XADMSSNM,ADMSSNM,XADMSSNW,ADMSSNW,XADMSSNAN,ADMSSNAN,XADMSSNUN,ADMSSNUN,XENRLT,ENRLT,XENRLM,ENRLM,XENRLW,ENRLW,XENRLAN,ENRLAN,XENRLUN,ENRLUN,XENRLFT,ENRLFT,XENRLFTM,ENRLFTM,XENRLFTW,ENRLFTW,XENRLFTAN,ENRLFTAN,XENRLFTUN,ENRLFTUN,XENRLPT,ENRLPT,XENRLPTM,ENRLPTM,XENRLPTW,ENRLPTW,XENRLPTAN,ENRLPTAN,XENRLPTUN,ENRLPTUN,XSATNUM,SATNUM,XSATPCT,SATPCT,XACTNUM,ACTNUM,XACTPCT,ACTPCT,XSATVR25,SATVR25,XSATVR50,SATVR50,XSATVR75,SATVR75,XSATMT25,SATMT25,XSATMT50,SATMT50,XSATMT75,SATMT75,XACTCM25,ACTCM25,XACTCM50,ACTCM50,XACTCM75,ACTCM75,XACTEN25,ACTEN25,XACTEN50,ACTEN50,XACTEN75,ACTEN75,XACTMT25,ACTMT25,XACTMT50,ACTMT50,XACTMT75,ACTMT75
171456,1,3,1,3,5,3,3,1,3,3,5,3,R,12204,R,4244,R,7779,S,,S,,R,10254,R,3533,R,6593,S,,S,,R,1567,R,587,R,928,S,,S,,R,1539,R,573,R,915,S,,S,,R,28,R,14,R,13,S,,S,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
171492,1,3,1,3,3,3,3,1,3,3,3,3,R,1851,R,1061,R,790,A,,R,0,R,1194,R,689,R,505,A,,R,0,R,341,R,231,R,110,A,,R,0,R,315,R,218,R,97,A,,R,0,R,26,R,13,R,13,A,,R,0,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
171571,1,3,1,1,3,3,5,1,3,3,5,3,R,17593,R,7032,R,10429,A,,R,132,R,15454,R,6151,R,9207,A,,R,96,R,2268,R,945,R,1323,A,,R,0,R,2226,R,926,R,1300,A,,R,0,R,42,R,19,R,23,A,,R,0,R,11,R,1,R,1,R,1,R,540,R,570,R,640,R,490,R,550,R,590,S,,S,,S,,S,,S,,S,,S,,S,,S,
171599,1,5,1,1,5,5,3,3,3,3,1,3,R,1516,R,867,R,646,S,,S,,R,1262,R,713,R,546,S,,S,,R,257,R,170,R,87,S,,S,,R,257,R,170,R,87,S,,S,,R,0,R,0,R,0,S,,S,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
171881,1,5,1,5,5,3,3,1,3,3,1,3,R,178,R,104,R,74,A,,R,0,R,123,R,79,R,44,A,,R,0,R,45,R,35,R,10,A,,R,0,R,43,R,35,R,8,A,,R,0,R,2,R,0,R,2,A,,R,0,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
172033,1,3,1,3,1,3,5,5,3,3,1,3,R,2,R,2,Z,0,A,,R,0,R,2,R,2,A,,A,,R,0,R,2,R,2,A,,A,,R,0,R,2,R,2,A,,A,,R,0,Z,0,Z,0,A,,A,,R,0,R,1,R,100,R,1,R,100,S,,S,,S,,S,,S,,S,,S,,S,,S,,S,,S,,S,,S,,S,,S,
172051,1,3,1,3,3,3,5,1,3,3,3,5,R,11816,R,4343,R,7447,S,,S,,R,8516,R,3028,R,5472,S,,S,,R,1366,R,483,R,879,S,,S,,R,1353,R,478,R,871,S,,S,,R,13,R,5,R,8,S,,S,,R,1148,R,84,R,42,R,3,R,480,R,530,R,600,R,440,R,520,R,570,R,18,R,22,R,26,R,19,R,22,R,25,R,17,R,21,R,26
172264,1,5,1,1,5,5,5,5,3,5,1,5,R,1418,R,754,R,664,A,,R,0,R,977,R,531,R,446,A,,R,0,R,355,R,186,R,169,A,,R,0,R,353,R,185,R,168,A,,R,0,R,2,R,1,R,1,A,,R,0,R,34,R,10,R,23,R,7,R,413,R,470,R,528,R,393,R,440,R,545,R,16,R,19,R,23,R,14,R,19,R,23,R,16,R,18,R,24
172334,1,5,1,5,5,5,5,1,3,3,3,3,R,2527,R,884,R,1643,A,,R,0,R,1302,R,437,R,865,A,,R,0,R,215,R,73,R,142,A,,R,0,R,215,R,73,R,142,A,,R,0,R,0,R,0,R,0,A,,R,0,R,8,R,4,Z,0,Z,0,R,540,R,595,R,630,R,470,R,575,R,610,A,,A,,A,,A,,A,,A,,A,,A,,A,
172644,1,3,1,5,5,3,5,1,3,5,5,3,R,16981,R,6591,R,9717,A,,R,673,R,13781,R,5243,R,8059,A,,R,479,R,3085,R,1230,R,1688,A,,R,167,R,2990,R,1195,R,1634,A,,R,161,R,95,R,35,R,54,A,,R,6,R,1239,R,40,R,77,R,3,R,540,R,590,R,640,R,520,R,560,R,630,R,23,R,26,R,29,R,21,R,25,R,29,R,22,R,25,R,27
172699,1,5,1,1,5,5,3,1,3,5,5,3,R,21701,R,9768,R,11932,A,,R,1,R,18359,R,8121,R,10237,A,,R,1,R,2484,R,1136,R,1348,A,,R,0,R,2437,R,1103,R,1334,A,,R,0,R,47,R,33,R,14,A,,R,0,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
173045,1,3,1,3,5,3,3,1,3,3,5,3,R,4118,R,1649,R,2440,S,,S,,R,3376,R,1280,R,2069,S,,S,,R,628,R,283,R,343,S,,S,,R,628,R,283,R,343,S,,S,,R,0,R,0,R,0,S,,S,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
173124,1,1,1,3,3,3,5,1,3,5,5,3,R,3812,R,1617,R,2179,A,,R,16,R,2134,R,799,R,1329,A,,R,6,R,516,R,218,R,297,A,,R,1,R,499,R,209,R,289,A,,R,1,R,17,R,9,R,8,A,,R,0,R,1,R,1,R,220,R,43,S,,S,,S,,S,,S,,S,,R,18,R,21,R,24,R,15,R,20,R,22,R,17,R,20,R,24
173142,1,3,1,5,5,3,5,1,3,3,5,3,R,1319,R,635,R,684,A,,R,0,R,514,R,215,R,299,A,,R,0,R,175,R,82,R,93,A,,R,0,R,175,R,82,R,93,A,,R,0,A,,A,,A,,A,,A,,R,11,R,6,R,92,R,53,R,550,R,570,R,580,R,490,R,580,R,600,R,21,R,23,R,26,R,20,R,22,R,25,R,19,R,23,R,26
173160,1,5,1,3,5,3,5,5,3,3,1,3,R,1754,R,791,R,963,A,,R,0,R,1540,R,676,R,864,A,,R,0,R,415,R,198,R,217,A,,R,0,R,409,R,193,R,216,A,,R,0,R,6,R,5,R,1,A,,R,0,R,9,R,2,R,120,R,29,R,610,R,640,R,650,R,580,R,590,R,650,R,22,R,26,R,28,R,20,R,24,R,29,R,22,R,25,R,28
173258,5,5,1,1,1,5,5,1,3,5,1,3,R,7133,R,3820,R,3305,S,,S,,R,1456,R,677,R,776,S,,S,,R,507,R,260,R,247,S,,S,,R,507,R,260,R,247,S,,S,,A,,A,,A,,S,,S,,R,170,R,34,R,129,R,25,R,720,R,745,R,770,R,730,R,770,R,790,R,32,R,34,R,34,R,34,R,35,R,35,R,29,R,32,R,34
173300,1,5,1,5,5,3,5,1,3,5,5,3,R,4763,R,2145,R,2531,R,87,R,0,R,2984,R,1247,R,1680,R,57,R,0,R,556,R,236,R,320,R,0,R,0,R,556,R,236,R,320,A,,R,0,A,,A,,A,,A,,A,,R,0,Z,0,R,63,R,11,A,,A,,A,,A,,A,,A,,R,21,R,24,R,26,R,20,R,23,R,25,R,21,R,25,R,27
173328,1,3,3,3,5,3,3,1,3,5,5,3,R,3540,R,1395,R,2136,A,,R,9,R,2792,R,1026,R,1762,A,,R,4,R,464,R,179,R,285,A,,R,0,R,450,R,176,R,274,A,,R,0,R,14,R,3,R,11,A,,R,0,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
173452,1,5,1,1,1,3,5,1,3,5,3,3,R,226,R,110,R,116,A,,R,0,R,197,R,95,R,102,A,,R,0,R,174,R,86,R,88,A,,R,0,R,174,R,86,R,88,A,,R,0,R,0,R,0,R,0,A,,R,0,R,4,R,2,R,133,R,76,S,,S,,S,,S,,S,,S,,R,21,R,21,R,28,R,20,R,24,R,27,R,20,R,25,R,28
173647,1,3,1,5,5,5,5,1,3,5,1,5,R,5294,R,2514,R,2769,S,,S,,R,3229,R,1417,R,1810,S,,S,,R,490,R,257,R,233,S,,S,,R,490,R,257,R,233,S,,S,,A,,A,,A,,S,,S,,R,0,R,0,R,204,R,42,A,,A,,A,,A,,A,,A,,R,24,R,27,R,30,R,22,R,26,R,30,R,22,R,26,R,29
173665,1,5,1,1,5,3,5,1,3,3,5,3,R,3475,R,1331,R,2139,R,5,R,0,R,3045,R,1153,R,1887,R,5,R,0,R,483,R,179,R,299,R,5,R,0,R,483,R,179,R,299,R,5,R,0,R,0,R,0,R,0,R,0,R,0,R,10,R,2,R,114,R,24,R,568,R,635,R,728,R,565,R,635,R,663,R,19,R,23,R,28,R,18,R,23,R,26,R,17,R,23,R,26
173902,5,5,1,5,1,3,5,1,3,5,5,3,R,8968,R,4097,R,4855,S,,S,,R,2558,R,1033,R,1521,S,,S,,R,560,R,247,R,310,S,,S,,R,560,R,247,R,310,S,,S,,A,,A,,A,,S,,S,,R,162,R,29,R,128,R,23,R,680,R,720,R,750,R,670,R,720,R,760,R,30,R,32,R,34,R,30,R,34,R,35,R,27,R,29,R,32
173920,1,5,1,1,3,3,5,1,3,3,3,3,R,9098,R,4108,R,4924,R,0,R,66,R,8046,R,3544,R,4455,A,,R,47,R,2364,R,1097,R,1261,A,,R,6,R,2317,R,1077,R,1234,A,,R,6,R,47,R,20,R,27,A,,R,0,Z,0,Z,0,R,138,R,6,A,,A,,A,,A,,A,,A,,R,21,R,23,R,25,R,20,R,22,R,24,R,19,R,22,R,25
173957,5,3,3,3,1,3,3,3,3,5,1,3,R,141,R,27,R,114,A,,R,0,R,55,R,5,R,50,A,,R,0,R,55,R,5,R,50,A,,R,0,R,55,R,5,R,50,A,,R,0,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
174020,1,5,1,3,3,3,5,1,3,5,5,3,R,698,R,278,R,414,S,,S,,R,689,R,272,R,412,S,,S,,R,233,R,98,R,133,S,,S,,R,148,R,68,R,80,S,,S,,R,85,R,30,R,53,S,,S,,R,0,R,0,R,14,R,6,A,,A,,A,,A,,A,,A,,R,16,R,19,R,21,R,12,R,16,R,23,R,15,R,16,R,21
174066,5,5,1,1,5,3,5,1,3,5,5,3,R,41496,R,20012,R,21345,A,,R,139,R,33091,R,15827,R,17170,A,,R,94,R,7391,R,3411,R,3946,A,,R,34,R,7343,R,3399,R,3912,A,,R,32,R,48,R,12,R,34,A,,R,2,R,606,R,8,R,2463,R,33,R,640,R,690,R,730,R,660,R,720,R,770,R,26,R,29,R,31,R,24,R,28,R,33,R,25,R,27,R,31
174075,1,5,1,5,5,3,3,1,3,5,5,3,R,1565,R,619,R,940,A,,R,6,R,1375,R,530,R,839,A,,R,6,R,242,R,81,R,160,A,,R,1,R,222,R,73,R,148,A,,R,1,R,20,R,8,R,12,A,,R,0,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
174127,1,3,1,5,1,1,5,1,3,5,1,3,R,854,R,209,R,614,A,,R,31,R,414,R,93,R,321,A,,R,0,R,161,R,44,R,117,A,,R,0,R,161,R,44,R,117,A,,R,0,A,,A,,A,,A,,A,,R,6,R,4,R,34,R,21,R,600,R,630,R,710,R,530,R,590,R,630,R,21,R,23,R,29,R,20,R,24,R,29,R,17,R,24,R,26
174154,1,3,1,3,3,3,3,1,1,3,3,3,R,96,R,11,R,85,S,,S,,R,90,R,10,R,80,S,,S,,R,62,R,7,R,55,S,,S,,R,51,R,7,R,44,S,,S,,R,11,R,0,R,11,S,,S,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
174233,1,5,1,1,5,3,5,1,3,5,5,5,R,8999,R,4054,R,4920,A,,R,25,R,7987,R,3542,R,4424,A,,R,21,R,1799,R,909,R,881,A,,R,9,R,1786,R,901,R,876,A,,R,9,R,13,R,8,R,5,A,,R,0,R,20,R,1,R,723,R,40,R,590,R,650,R,675,R,590,R,640,R,675,R,23,R,26,R,28,R,21,R,24,R,27,R,22,R,25,R,27
174251,1,1,1,1,3,3,5,1,3,5,5,3,R,2956,R,1453,R,1472,A,,R,31,R,2215,R,1050,R,1139,A,,R,26,R,222,R,109,R,109,A,,R,4,R,220,R,109,R,107,A,,R,4,R,2,R,0,R,2,A,,R,0,R,2,R,1,R,61,R,28,S,,S,,S,,S,,S,,S,,R,20,R,23,R,26,R,18,R,21,R,25,R,17,R,22,R,26
174358,1,5,1,1,3,3,5,1,3,3,5,3,R,3751,R,1606,R,2117,S,,S,,R,2204,R,845,R,1346,S,,S,,R,602,R,235,R,362,S,,S,,R,594,R,231,R,358,S,,S,,R,8,R,4,R,4,S,,S,,R,0,R,0,R,309,R,51,A,,A,,A,,A,,A,,A,,R,18,R,21,R,25,R,15,R,20,R,24,R,17,R,21,R,25
174437,1,3,1,3,5,3,3,1,3,3,5,3,R,492,R,208,R,284,A,,R,0,R,487,R,205,R,282,A,,R,0,R,144,R,67,R,77,A,,R,0,R,134,R,65,R,69,A,,R,0,R,10,R,2,R,8,A,,R,0,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
174491,1,5,1,3,1,3,5,1,5,3,1,3,R,1301,R,657,R,644,A,,R,0,R,1216,R,603,R,613,A,,R,0,R,376,R,159,R,217,A,,R,0,R,363,R,154,R,209,A,,R,0,R,13,R,5,R,8,A,,R,0,R,16,R,4,R,128,R,35,R,430,R,515,R,608,R,438,R,525,R,663,R,20,R,24,R,28,R,20,R,24,R,29,R,19,R,24,R,26
174747,1,5,1,1,5,3,5,1,3,5,5,3,R,1840,R,0,R,1840,R,0,R,0,R,1684,A,,R,1684,A,,R,0,R,363,A,,R,363,A,,R,0,R,363,A,,R,363,A,,R,0,A,,A,,A,,A,,A,,R,16,R,4,R,155,R,43,R,565,R,620,R,643,R,483,R,540,R,590,R,20,R,23,R,27,R,20,R,22,R,26,R,18,R,22,R,26
174783,1,5,1,5,3,3,5,1,3,3,3,3,R,5976,R,2860,R,3116,R,0,R,0,R,5665,R,2736,R,2929,A,,R,0,R,938,R,437,R,501,A,,R,0,R,892,R,423,R,469,A,,R,0,R,46,R,14,R,32,A,,R,0,R,13,R,1,R,210,R,22,R,510,R,570,R,615,R,515,R,560,R,645,R,17,R,21,R,25,R,15,R,19,R,23,R,17,R,21,R,24
