UNITID,XSCUGRAD,SCUGRAD,XSCUGDGSK,SCUGDGSK,XSCUGNDGS,SCUGNDGS,XSCUGFFN,SCUGFFN,XSCUGFFP,SCUGFFP,XSCFA2,SCFA2,XSCFA2DG,SCFA2DG,XSCFA2ND,SCFA2ND,XSCFA1N,SCFA1N,XSCFA1P,SCFA1P,XSCFY2,SCFY2,XSCFY2DG,SCFY2DG,XSCFY2ND,SCFY2ND,XSCFY1N,SCFY1N,XSCFY1P,SCFY1P,XUAGRNTN,UAGRNTN,XUAGRNTP,UAGRNTP,XUAGRNTT,UAGRNTT,XUAGRNTA,UAGRNTA,XUDGAGRNTN,UDGAGRNTN,XUDGAGRNTP,UDGAGRNTP,XUDGAGRNTT,UDGAGRNTT,XUDGAGRNTA,UDGAGRNTA,XUNDAGRNTN,UNDAGRNTN,XUNDAGRNTP,UNDAGRNTP,XUNDAGRNTT,UNDAGRNTT,XUNDAGRNTA,UNDAGRNTA,XUPGRNTN,UPGRNTN,XUPGRNTP,UPGRNTP,XUPGRNTT,UPGRNTT,XUPGRNTA,UPGRNTA,XUDGPGRNTN,UDGPGRNTN,XUDGPGRNTP,UDGPGRNTP,XUDGPGRNTT,UDGPGRNTT,XUDGPGRNTA,UDGPGRNTA,XUNDPGRNTN,UNDPGRNTN,XUNDPGRNTP,UNDPGRNTP,XUNDPGRNTT,UNDPGRNTT,XUNDPGRNTA,UNDPGRNTA,XUFLOANN,UFLOANN,XUFLOANP,UFLOANP,XUFLOANT,UFLOANT,XUFLOANA,UFLOANA,XUDGFLOANN,UDGFLOANN,XUDGFLOANP,UDGFLOANP,XUDGFLOANT,UDGFLOANT,XUDGFLOANA,UDGFLOANA,XUNDFLOANN,UNDFLOANN,XUNDFLOANP,UNDFLOANP,XUNDFLOANT,UNDFLOANT,XUNDFLOANA,UNDFLOANA,XANYAIDN,ANYAIDN,XANYAIDP,ANYAIDP,XAIDFSIN,AIDFSIN,XAIDFSIP,AIDFSIP,XAGRNT_N,AGRNT_N,XAGRNT_P,AGRNT_P,XAGRNT_T,AGRNT_T,XAGRNT_A,AGRNT_A,XFGRNT_N,FGRNT_N,XFGRNT_P,FGRNT_P,XFGRNT_T,FGRNT_T,XFGRNT_A,FGRNT_A,XPGRNT_N,PGRNT_N,XPGRNT_P,PGRNT_P,XPGRNT_T,PGRNT_T,XPGRNT_A,PGRNT_A,XOFGRT_N,OFGRT_N,XOFGRT_P,OFGRT_P,XOFGRT_T,OFGRT_T,XOFGRT_A,OFGRT_A,XSGRNT_N,SGRNT_N,XSGRNT_P,SGRNT_P,XSGRNT_T,SGRNT_T,XSGRNT_A,SGRNT_A,XIGRNT_N,IGRNT_N,XIGRNT_P,IGRNT_P,XIGRNT_T,IGRNT_T,XIGRNT_A,IGRNT_A,XLOAN_N,LOAN_N,XLOAN_P,LOAN_P,XLOAN_T,LOAN_T,XLOAN_A,LOAN_A,XFLOAN_N,FLOAN_N,XFLOAN_P,FLOAN_P,XFLOAN_T,FLOAN_T,XFLOAN_A,FLOAN_A,XOLOAN_N,OLOAN_N,XOLOAN_P,OLOAN_P,XOLOAN_T,OLOAN_T,XOLOAN_A,OLOAN_A
483504,R,450,R,450,R,0,R,110,R,24,R,450,R,450,R,0,R,110,R,24,A,,A,,A,,A,,A,,R,417,R,93,R,2348776,R,5633,R,417,R,93,R,2348776,R,5633,R,0,Z,0,R,0,A,,R,397,R,88,R,2029688,R,5113,R,397,R,88,R,2029688,R,5113,R,0,Z,0,R,0,A,,R,402,R,89,R,2776814,R,6907,R,402,R,89,R,2776814,R,6907,R,0,Z,0,R,0,A,,R,100,R,91,R,100,R,91,R,98,R,89,R,482826,R,4927,R,95,R,86,R,461622,R,4859,R,95,R,86,R,449472,R,4731,R,34,R,31,R,12150,R,357,R,5,R,5,R,7500,R,1500,R,27,R,25,R,13704,R,508,R,85,R,77,R,548078,R,6448,R,85,R,77,R,548078,R,6448,R,0,R,0,R,0,A,
483513,R,60,R,60,R,0,R,42,R,70,A,,A,,A,,A,,A,,R,60,R,60,R,0,R,42,R,70,R,43,R,72,R,231608,R,5386,R,43,R,72,R,231608,R,5386,R,0,Z,0,R,0,A,,R,43,R,72,R,231608,R,5386,R,43,R,72,R,231608,R,5386,R,0,Z,0,R,0,A,,R,43,R,72,R,308153,R,7166,R,43,R,72,R,308153,R,7166,R,0,Z,0,R,0,A,,R,37,R,88,R,37,R,88,R,35,R,83,R,196433,R,5612,R,35,R,83,R,196433,R,5612,R,35,R,83,R,196433,R,5612,R,0,R,0,R,0,A,,R,0,R,0,R,0,A,,R,0,R,0,R,0,A,,R,34,R,81,R,279549,R,8222,R,34,R,81,R,279549,R,8222,R,0,R,0,R,0,A,
483559,R,120,R,120,R,0,R,51,R,43,A,,A,,A,,A,,A,,R,120,R,120,R,0,R,51,R,43,R,68,R,57,R,433041,R,6368,R,68,R,57,R,433041,R,6368,R,0,Z,0,R,0,A,,R,68,R,57,R,433041,R,6368,R,68,R,57,R,433041,R,6368,R,0,Z,0,R,0,A,,R,70,R,58,R,565292,R,8076,R,70,R,58,R,565292,R,8076,R,0,Z,0,R,0,A,,R,47,R,92,R,47,R,92,R,39,R,76,R,250109,R,6413,R,39,R,76,R,250109,R,6413,R,39,R,76,R,250109,R,6413,R,0,R,0,R,0,A,,R,0,R,0,R,0,A,,R,0,R,0,R,0,A,,R,46,R,90,R,363721,R,7907,R,46,R,90,R,363721,R,7907,R,0,R,0,R,0,A,
483577,R,113,R,113,R,0,R,11,R,10,A,,A,,A,,A,,A,,R,113,R,113,R,0,R,11,R,10,R,39,R,35,R,164647,R,4222,R,39,R,35,R,164647,R,4222,R,0,Z,0,R,0,A,,R,7,R,6,R,28523,R,4075,R,7,R,6,R,28523,R,4075,R,0,Z,0,R,0,A,,R,9,R,8,R,58348,R,6483,R,9,R,8,R,58348,R,6483,R,0,Z,0,R,0,A,,R,9,R,82,R,9,R,82,R,7,R,64,R,30532,R,4362,R,7,R,64,R,30532,R,4362,R,7,R,64,R,28523,R,4075,R,1,R,9,R,2009,R,2009,R,0,R,0,R,0,A,,R,0,R,0,R,0,A,,R,9,R,82,R,58348,R,6483,R,9,R,82,R,58348,R,6483,R,0,R,0,R,0,A,
483595,R,4915,R,4892,R,23,R,719,R,15,R,4915,R,4892,R,23,R,719,R,15,A,,A,,A,,A,,A,,R,3505,R,71,R,22144967,R,6318,R,3505,R,72,R,22144967,R,6318,R,0,R,0,R,0,A,,R,3502,R,71,R,22102848,R,6311,R,3502,R,72,R,22102848,R,6311,R,0,R,0,R,0,A,,R,3311,R,67,R,26937981,R,8136,R,3311,R,68,R,26937981,R,8136,R,0,R,0,R,0,A,,R,692,R,96,R,622,R,87,R,622,R,87,R,4610183,R,7412,R,622,R,87,R,4610183,R,7412,R,622,R,87,R,4603383,R,7401,R,68,R,9,R,6800,R,100,R,0,R,0,R,0,A,,R,0,R,0,R,0,A,,R,464,R,65,R,3560393,R,7673,R,464,R,65,R,3560393,R,7673,R,0,R,0,R,0,A,
483647,R,44,R,44,R,0,R,23,R,52,R,44,R,44,R,0,R,23,R,52,A,,A,,A,,A,,A,,R,44,R,100,R,561815,R,12769,R,44,R,100,R,561815,R,12769,R,0,Z,0,R,0,A,,R,44,R,100,R,325380,R,7395,R,44,R,100,R,325380,R,7395,R,0,Z,0,R,0,A,,R,44,R,100,R,526000,R,11955,R,44,R,100,R,526000,R,11955,R,0,Z,0,R,0,A,,R,23,R,100,R,23,R,100,R,23,R,100,R,49032,R,2132,R,23,R,100,R,49032,R,2132,R,23,R,100,R,49032,R,2132,R,0,R,0,R,0,A,,R,0,R,0,R,0,A,,R,0,R,0,R,0,A,,R,23,R,100,R,275000,R,11957,R,23,R,100,R,275000,R,11957,R,0,R,0,R,0,A,
483708,R,877,R,877,R,0,R,48,R,5,A,,A,,A,,A,,A,,R,877,R,877,R,0,R,48,R,5,R,45,R,5,R,442597,R,9835,R,45,R,5,R,442597,R,9835,R,0,Z,0,R,0,A,,R,41,R,5,R,309008,R,7537,R,41,R,5,R,309008,R,7537,R,0,Z,0,R,0,A,,R,22,R,3,R,133949,R,6089,R,22,R,3,R,133949,R,6089,R,0,Z,0,R,0,A,,R,45,R,94,R,45,R,94,R,43,R,90,R,322503,R,7500,R,41,R,85,R,309008,R,7537,R,41,R,85,R,309008,R,7537,R,0,R,0,R,0,A,,R,2,R,4,R,13495,R,6748,R,0,R,0,R,0,A,,R,22,R,46,R,133949,R,6089,R,22,R,46,R,133949,R,6089,R,0,R,0,R,0,A,
483726,R,29,R,28,R,1,R,0,R,0,A,,A,,A,,A,,A,,R,29,R,28,R,1,R,0,Z,0,R,21,R,72,R,122808,R,5848,R,20,R,71,R,115413,R,5771,R,1,R,100,R,7395,R,7395,R,21,R,72,R,122808,R,5848,R,20,R,71,R,115413,R,5771,R,1,R,100,R,7395,R,7395,R,21,R,72,R,141184,R,6723,R,20,R,71,R,131684,R,6584,R,1,R,100,R,9500,R,9500,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
483735,R,160,R,160,R,0,R,20,R,13,A,,A,,A,,A,,A,,R,160,R,160,R,0,R,20,R,13,R,98,R,61,R,457536,R,4669,R,98,R,61,R,457536,R,4669,R,0,Z,0,R,0,A,,R,98,R,61,R,457536,R,4669,R,98,R,61,R,457536,R,4669,R,0,Z,0,R,0,A,,R,111,R,69,R,630453,R,5680,R,111,R,69,R,630453,R,5680,R,0,Z,0,R,0,A,,R,13,R,65,R,13,R,65,R,13,R,65,R,61906,R,4762,R,13,R,65,R,61906,R,4762,R,13,R,65,R,61906,R,4762,R,0,R,0,R,0,A,,R,0,R,0,R,0,A,,R,0,R,0,R,0,A,,R,13,R,65,R,72917,R,5609,R,13,R,65,R,72917,R,5609,R,0,R,0,R,0,A,
483744,R,83,R,83,R,0,R,10,R,12,A,,A,,A,,A,,A,,R,83,R,83,R,0,R,10,R,12,R,57,R,69,R,342453,R,6008,R,57,R,69,R,342453,R,6008,R,0,Z,0,R,0,A,,R,57,R,69,R,342453,R,6008,R,57,R,69,R,342453,R,6008,R,0,Z,0,R,0,A,,R,34,R,41,R,259151,R,7622,R,34,R,41,R,259151,R,7622,R,0,Z,0,R,0,A,,R,9,R,90,R,9,R,90,R,6,R,60,R,37073,R,6179,R,6,R,60,R,37073,R,6179,R,6,R,60,R,37073,R,6179,R,0,R,0,R,0,A,,R,0,R,0,R,0,A,,R,0,R,0,R,0,A,,R,5,R,50,R,43500,R,8700,R,5,R,50,R,43500,R,8700,R,0,R,0,R,0,A,
