UNITID,XSCUGRAD,SCUGRAD,XSCUGDGSK,SCUGDGSK,XSCUGNDGS,SCUGNDGS,XSCUGFFN,SCUGFFN,XSCUGFFP,SCUGFFP,XSCFA2,SCFA2,XSCFA2DG,SCFA2DG,XSCFA2ND,SCFA2ND,XSCFA1N,SCFA1N,XSCFA1P,SCFA1P,XSCFY2,SCFY2,XSCFY2DG,SCFY2DG,XSCFY2ND,SCFY2ND,XSCFY1N,SCFY1N,XSCFY1P,SCFY1P,XUAGRNTN,UAGRNTN,XUAGRNTP,UAGRNTP,XUAGRNTT,UAGRNTT,XUAGRNTA,UAGRNTA,XUDGAGRNTN,UDGAGRNTN,XUDGAGRNTP,UDGAGRNTP,XUDGAGRNTT,UDGAGRNTT,XUDGAGRNTA,UDGAGRNTA,XUNDAGRNTN,UNDAGRNTN,XUNDAGRNTP,UNDAGRNTP,XUNDAGRNTT,UNDAGRNTT,XUNDAGRNTA,UNDAGRNTA,XUPGRNTN,UPGRNTN,XUPGRNTP,UPGRNTP,XUPGRNTT,UPGRNTT,XUPGRNTA,UPGRNTA,XUDGPGRNTN,UDGPGRNTN,XUDGPGRNTP,UDGPGRNTP,XUDGPGRNTT,UDGPGRNTT,XUDGPGRNTA,UDGPGRNTA,XUNDPGRNTN,UNDPGRNTN,XUNDPGRNTP,UNDPGRNTP,XUNDPGRNTT,UNDPGRNTT,XUNDPGRNTA,UNDPGRNTA,XUFLOANN,UFLOANN,XUFLOANP,UFLOANP,XUFLOANT,UFLOANT,XUFLOANA,UFLOANA,XUDGFLOANN,UDGFLOANN,XUDGFLOANP,UDGFLOANP,XUDGFLOANT,UDGFLOANT,XUDGFLOANA,UDGFLOANA,XUNDFLOANN,UNDFLOANN,XUNDFLOANP,UNDFLOANP,XUNDFLOANT,UNDFLOANT,XUNDFLOANA,UNDFLOANA,XANYAIDN,ANYAIDN,XANYAIDP,ANYAIDP,XAIDFSIN,AIDFSIN,XAIDFSIP,AIDFSIP,XAGRNT_N,AGRNT_N,XAGRNT_P,AGRNT_P,XAGRNT_T,AGRNT_T,XAGRNT_A,AGRNT_A,XFGRNT_N,FGRNT_N,XFGRNT_P,FGRNT_P,XFGRNT_T,FGRNT_T,XFGRNT_A,FGRNT_A,XPGRNT_N,PGRNT_N,XPGRNT_P,PGRNT_P,XPGRNT_T,PGRNT_T,XPGRNT_A,PGRNT_A,XOFGRT_N,OFGRT_N,XOFGRT_P,OFGRT_P,XOFGRT_T,OFGRT_T,XOFGRT_A,OFGRT_A,XSGRNT_N,SGRNT_N,XSGRNT_P,SGRNT_P,XSGRNT_T,SGRNT_T,XSGRNT_A,SGRNT_A,XIGRNT_N,IGRNT_N,XIGRNT_P,IGRNT_P,XIGRNT_T,IGRNT_T,XIGRNT_A,IGRNT_A,XLOAN_N,LOAN_N,XLOAN_P,LOAN_P,XLOAN_T,LOAN_T,XLOAN_A,LOAN_A,XFLOAN_N,FLOAN_N,XFLOAN_P,FLOAN_P,XFLOAN_T,FLOAN_T,XFLOAN_A,FLOAN_A,XOLOAN_N,OLOAN_N,XOLOAN_P,OLOAN_P,XOLOAN_T,OLOAN_T,XOLOAN_A,OLOAN_A
100654,R,5845,R,5726,R,119,R,1976,R,34,R,5845,R,5726,R,119,R,1976,R,34,A,,A,,A,,A,,A,,R,4660,R,80,R,58226923,R,12495,R,4660,R,81,R,58226923,R,12495,R,0,R,0,R,0,A,,R,3681,R,63,R,23657349,R,6427,R,3681,R,64,R,23657349,R,6427,R,0,R,0,R,0,A,,R,4357,R,75,R,30301705,R,6955,R,4357,R,76,R,30301705,R,6955,R,0,R,0,R,0,A,,R,1769,R,90,R,1769,R,90,R,1698,R,86,R,21809164,R,12844,R,1332,R,67,R,9021849,R,6773,R,1328,R,67,R,8756692,R,6594,R,123,R,6,R,265157,R,2156,R,66,R,3,R,112137,R,1699,R,1330,R,67,R,12675178,R,9530,R,1503,R,76,R,10345864,R,6883,R,1493,R,76,R,9292472,R,6224,R,108,R,5,R,1053392,R,9754
100663,R,12382,R,12118,R,264,R,2057,R,17,R,12382,R,12118,R,264,R,2057,R,17,A,,A,,A,,A,,A,,R,9053,R,73,R,99134399,R,10950,R,8984,R,74,R,98852872,R,11003,R,69,R,26,R,281527,R,4080,R,4212,R,34,R,28795701,R,6837,R,4211,R,35,R,28789156,R,6837,R,1,R,0,R,6545,R,6545,R,4986,R,40,R,33869505,R,6793,R,4985,R,41,R,33857005,R,6792,R,1,R,0,R,12500,R,12500,R,1946,R,95,R,1930,R,94,R,1851,R,90,R,20406393,R,11025,R,870,R,42,R,6129537,R,7045,R,870,R,42,R,5977015,R,6870,R,114,R,6,R,152522,R,1338,R,5,R,0,R,4600,R,920,R,1563,R,76,R,14272256,R,9131,R,1063,R,52,R,7172314,R,6747,R,1053,R,51,R,5420768,R,5148,R,126,R,6,R,1751546,R,13901
100690,R,226,R,226,R,0,R,0,R,0,R,226,R,226,R,0,R,0,R,0,A,,A,,A,,A,,A,,R,193,R,85,R,649689,R,3366,R,193,R,85,R,649689,R,3366,R,0,Z,0,R,0,A,,R,173,R,77,R,355303,R,2054,R,173,R,77,R,355303,R,2054,R,0,Z,0,R,0,A,,R,183,R,81,R,711029,R,3885,R,183,R,81,R,711029,R,3885,R,0,Z,0,R,0,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
100706,R,6851,R,6651,R,200,R,1162,R,17,R,6851,R,6651,R,200,R,1162,R,17,A,,A,,A,,A,,A,,R,4800,R,70,R,44189199,R,9206,R,4647,R,70,R,43561361,R,9374,R,153,R,77,R,627838,R,4104,R,1688,R,25,R,8850009,R,5243,R,1688,R,25,R,8850009,R,5243,R,0,R,0,R,0,A,,R,2230,R,33,R,14358304,R,6439,R,2230,R,34,R,14358304,R,6439,R,0,R,0,R,0,A,,R,1127,R,97,R,1120,R,96,R,1107,R,95,R,10259147,R,9268,R,298,R,26,R,1797955,R,6033,R,298,R,26,R,1640705,R,5506,R,83,R,7,R,157250,R,1895,R,13,R,1,R,43371,R,3336,R,1062,R,91,R,8417821,R,7926,R,427,R,37,R,3274259,R,7668,R,413,R,36,R,2140419,R,5183,R,81,R,7,R,1133840,R,13998
100724,R,3322,R,3322,R,0,R,909,R,27,R,3322,R,3322,R,0,R,909,R,27,A,,A,,A,,A,,A,,R,3178,R,96,R,33589837,R,10569,R,3178,R,96,R,33589837,R,10569,R,0,Z,0,R,0,A,,R,2370,R,71,R,12887649,R,5438,R,2370,R,71,R,12887649,R,5438,R,0,Z,0,R,0,A,,R,2465,R,74,R,20243168,R,8212,R,2465,R,74,R,20243168,R,8212,R,0,Z,0,R,0,A,,R,792,R,87,R,792,R,87,R,792,R,87,R,9173803,R,11583,R,597,R,66,R,4047469,R,6780,R,596,R,66,R,3842505,R,6447,R,219,R,24,R,204964,R,936,R,135,R,15,R,238834,R,1769,R,521,R,57,R,4887500,R,9381,R,499,R,55,R,3427925,R,6870,R,494,R,54,R,3095243,R,6266,R,28,R,3,R,332682,R,11882
100751,R,33435,R,32323,R,1112,R,8215,R,25,R,33435,R,32323,R,1112,R,8215,R,25,A,,A,,A,,A,,A,,R,22976,R,69,R,365882652,R,15925,R,22604,R,70,R,365318554,R,16162,R,372,R,33,R,564098,R,1516,R,6151,R,18,R,34704209,R,5642,R,6140,R,19,R,34641954,R,5642,R,11,R,1,R,62255,R,5660,R,10829,R,32,R,68195484,R,6297,R,10828,R,33,R,68190041,R,6298,R,1,R,0,R,5443,R,5443,R,7252,R,88,R,7185,R,87,R,6566,R,80,R,114927794,R,17503,R,1665,R,20,R,9968195,R,5987,R,1661,R,20,R,9625783,R,5795,R,206,R,3,R,342412,R,1662,R,248,R,3,R,212089,R,855,R,6222,R,76,R,104747510,R,16835,R,3039,R,37,R,35036659,R,11529,R,2841,R,35,R,15015450,R,5285,R,729,R,9,R,20021209,R,27464
100760,R,1910,R,1134,R,776,R,274,R,14,R,1910,R,1134,R,776,R,274,R,14,A,,A,,A,,A,,A,,R,1388,R,73,R,5245444,R,3779,R,782,R,69,R,4357773,R,5573,R,606,R,78,R,887671,R,1465,R,608,R,32,R,2828198,R,4652,R,607,R,54,R,2826349,R,4656,R,1,R,0,R,1849,R,1849,R,324,R,17,R,1211951,R,3741,R,324,R,29,R,1211951,R,3741,R,0,R,0,R,0,A,,R,252,R,92,R,246,R,90,R,224,R,82,R,1559213,R,6961,R,169,R,62,R,1028305,R,6085,R,168,R,61,R,1011091,R,6018,R,40,R,15,R,17214,R,430,R,19,R,7,R,23027,R,1212,R,91,R,33,R,507881,R,5581,R,74,R,27,R,247775,R,3348,R,74,R,27,R,247775,R,3348,R,0,R,0,R,0,A,
100812,R,2531,R,2407,R,124,R,0,R,0,R,2531,R,2407,R,124,R,0,R,0,A,,A,,A,,A,,A,,R,1480,R,58,R,9139543,R,6175,R,1434,R,60,R,9077225,R,6330,R,46,R,37,R,62318,R,1355,R,1076,R,43,R,6864303,R,6379,R,1076,R,45,R,6864303,R,6379,R,0,R,0,R,0,A,,R,1034,R,41,R,8275329,R,8003,R,1027,R,43,R,8216901,R,8001,R,7,R,6,R,58428,R,8347,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
100830,R,3407,R,2691,R,716,R,408,R,12,R,3407,R,2691,R,716,R,408,R,12,A,,A,,A,,A,,A,,R,2435,R,71,R,19827520,R,8143,R,2125,R,79,R,18178553,R,8555,R,310,R,43,R,1648967,R,5319,R,1443,R,42,R,8721442,R,6044,R,1236,R,46,R,7528186,R,6091,R,207,R,29,R,1193256,R,5765,R,1447,R,42,R,10096463,R,6978,R,1252,R,47,R,8893139,R,7103,R,195,R,27,R,1203324,R,6171,R,398,R,98,R,397,R,97,R,397,R,97,R,3092560,R,7790,R,210,R,51,R,1338344,R,6373,R,210,R,51,R,1313944,R,6257,R,42,R,10,R,24400,R,581,R,36,R,9,R,28800,R,800,R,392,R,96,R,1725416,R,4402,R,177,R,43,R,921047,R,5204,R,177,R,43,R,921047,R,5204,R,0,R,0,R,0,A,
100858,R,26874,R,25732,R,1142,R,5916,R,22,R,26874,R,25732,R,1142,R,5916,R,22,A,,A,,A,,A,,A,,R,16842,R,63,R,183921896,R,10920,R,16567,R,64,R,182737468,R,11030,R,275,R,24,R,1184428,R,4307,R,3367,R,13,R,18901196,R,5614,R,3359,R,13,R,18843786,R,5610,R,8,R,1,R,57410,R,7176,R,7029,R,26,R,43903513,R,6246,R,7026,R,27,R,43893862,R,6247,R,3,R,0,R,9651,R,3217,R,5053,R,85,R,5026,R,85,R,4737,R,80,R,51498670,R,10872,R,687,R,12,R,4177255,R,6080,R,683,R,12,R,3917437,R,5736,R,258,R,4,R,259818,R,1007,R,228,R,4,R,1243796,R,5455,R,4631,R,78,R,46077619,R,9950,R,1697,R,29,R,16464733,R,9702,R,1602,R,27,R,8395237,R,5240,R,323,R,5,R,8069496,R,24983
101028,R,1712,R,1043,R,669,R,209,R,12,R,1712,R,1043,R,669,R,209,R,12,A,,A,,A,,A,,A,,R,1282,R,75,R,5880413,R,4587,R,868,R,83,R,5360409,R,6176,R,414,R,62,R,520004,R,1256,R,689,R,40,R,3432402,R,4982,R,689,R,66,R,3432402,R,4982,R,0,R,0,R,0,A,,R,446,R,26,R,2906477,R,6517,R,446,R,43,R,2906477,R,6517,R,0,R,0,R,0,A,,R,203,R,97,R,203,R,97,R,201,R,96,R,1554032,R,7732,R,148,R,71,R,945925,R,6391,R,146,R,70,R,944425,R,6469,R,2,R,1,R,1500,R,750,R,5,R,2,R,4000,R,800,R,102,R,49,R,604107,R,5923,R,67,R,32,R,399346,R,5960,R,67,R,32,R,399346,R,5960,R,0,R,0,R,0,A,
101116,R,302,R,302,R,0,R,20,R,7,R,302,R,302,R,0,R,20,R,7,A,,A,,A,,A,,A,,R,269,R,89,R,1698990,R,6316,R,269,R,89,R,1698990,R,6316,R,0,Z,0,R,0,A,,R,198,R,66,R,981928,R,4959,R,198,R,66,R,981928,R,4959,R,0,Z,0,R,0,A,,R,210,R,70,R,1587834,R,7561,R,210,R,70,R,1587834,R,7561,R,0,Z,0,R,0,A,,R,19,R,95,R,19,R,95,R,19,R,95,R,132735,R,6986,R,16,R,80,R,113972,R,7123,R,16,R,80,R,105472,R,6592,R,6,R,30,R,8500,R,1417,R,5,R,25,R,7010,R,1402,R,5,R,25,R,11753,R,2351,R,16,R,80,R,126168,R,7886,R,16,R,80,R,126168,R,7886,R,0,R,0,R,0,A,
101143,R,2248,R,1476,R,772,R,438,R,19,R,2248,R,1476,R,772,R,438,R,19,A,,A,,A,,A,,A,,R,1836,R,82,R,8277976,R,4509,R,1101,R,75,R,6726939,R,6110,R,735,R,95,R,1551037,R,2110,R,786,R,35,R,4526870,R,5759,R,780,R,53,R,4504682,R,5775,R,6,R,1,R,22188,R,3698,R,423,R,19,R,2638045,R,6237,R,418,R,28,R,2620795,R,6270,R,5,R,1,R,17250,R,3450,R,400,R,91,R,400,R,91,R,364,R,83,R,2603479,R,7152,R,251,R,57,R,1701826,R,6780,R,242,R,55,R,1598237,R,6604,R,53,R,12,R,103589,R,1955,R,38,R,9,R,19039,R,501,R,192,R,44,R,882614,R,4597,R,95,R,22,R,511075,R,5380,R,95,R,22,R,511075,R,5380,R,0,R,0,R,0,A,
101161,R,6790,R,4713,R,2077,R,1210,R,18,R,6790,R,4713,R,2077,R,1210,R,18,A,,A,,A,,A,,A,,R,4643,R,68,R,33710011,R,7260,R,3590,R,76,R,26273690,R,7319,R,1053,R,51,R,7436321,R,7062,R,2422,R,36,R,12314210,R,5084,R,2407,R,51,R,12310906,R,5115,R,15,R,1,R,3304,R,220,R,4370,R,64,R,9718376,R,2224,R,3354,R,71,R,9705992,R,2894,R,1016,R,49,R,12384,R,12,R,1075,R,89,R,1054,R,87,R,879,R,73,R,7842080,R,8922,R,669,R,55,R,4339610,R,6487,R,669,R,55,R,4215110,R,6301,R,140,R,12,R,124500,R,889,R,173,R,14,R,156330,R,904,R,622,R,51,R,3346140,R,5380,R,987,R,82,R,1974809,R,2001,R,986,R,81,R,1937316,R,1965,R,6,R,0,R,37493,R,6249
101189,R,1793,R,1482,R,311,R,228,R,13,R,1793,R,1482,R,311,R,228,R,13,A,,A,,A,,A,,A,,R,1001,R,56,R,25026465,R,25001,R,877,R,59,R,21589853,R,24618,R,124,R,40,R,3436612,R,27715,R,818,R,46,R,4595158,R,5618,R,715,R,48,R,3988263,R,5578,R,103,R,33,R,606895,R,5892,R,1001,R,56,R,9394939,R,9386,R,877,R,59,R,8316649,R,9483,R,124,R,40,R,1078290,R,8696,R,201,R,88,R,201,R,88,R,201,R,88,R,3574091,R,17782,R,118,R,52,R,683797,R,5795,R,118,R,52,R,683797,R,5795,R,0,R,0,R,0,A,,R,115,R,50,R,109197,R,950,R,200,R,88,R,2781097,R,13905,R,151,R,66,R,1170195,R,7750,R,143,R,63,R,1092920,R,7643,R,8,R,4,R,77275,R,9659
101240,R,4728,R,3619,R,1109,R,916,R,19,R,4728,R,3619,R,1109,R,916,R,19,A,,A,,A,,A,,A,,R,3800,R,80,R,16957449,R,4462,R,2782,R,77,R,15680933,R,5637,R,1018,R,92,R,1276516,R,1254,R,2191,R,46,R,11539121,R,5267,R,2183,R,60,R,11517858,R,5276,R,8,R,1,R,21263,R,2658,R,0,R,0,R,0,A,,R,0,R,0,R,0,A,,R,0,R,0,R,0,A,,R,819,R,89,C,819,C,89,C,819,C,89,R,5534984,C,6758,R,619,R,68,R,4124274,R,6663,R,614,R,67,R,4061039,R,6614,R,91,R,10,R,63235,R,695,R,107,R,12,R,82449,R,771,R,465,R,51,R,1328261,R,2856,R,14,R,2,R,118117,R,8437,R,0,R,0,R,0,A,,R,14,R,2,R,118117,R,8437
101277,R,54,R,54,R,0,R,19,R,35,A,,A,,A,,A,,A,,R,54,R,54,R,0,R,19,R,35,R,42,R,78,R,148614,R,3538,R,42,R,78,R,148614,R,3538,R,0,Z,0,R,0,A,,R,36,R,67,R,127865,R,3552,R,36,R,67,R,127865,R,3552,R,0,Z,0,R,0,A,,R,39,R,72,R,170052,R,4360,R,39,R,72,R,170052,R,4360,R,0,Z,0,R,0,A,,R,19,R,100,R,19,R,100,R,19,R,100,R,54140,R,2849,R,19,R,100,R,54140,R,2849,R,19,R,100,R,54140,R,2849,R,0,R,0,R,0,A,,R,0,R,0,R,0,A,,R,0,R,0,R,0,A,,R,15,R,79,R,72493,R,4833,R,15,R,79,R,63515,R,4234,R,2,R,11,R,8978,R,4489
101286,R,4010,R,3053,R,957,R,461,R,11,R,4010,R,3053,R,957,R,461,R,11,A,,A,,A,,A,,A,,R,3310,R,83,R,16187266,R,4890,R,2399,R,79,R,15068411,R,6281,R,911,R,95,R,1118855,R,1228,R,1887,R,47,R,9719077,R,5151,R,1873,R,61,R,9667607,R,5162,R,14,R,1,R,51470,R,3676,R,0,R,0,R,0,A,,R,0,R,0,R,0,A,,R,0,R,0,R,0,A,,R,394,R,85,R,382,R,83,R,382,R,83,R,3291130,R,8616,R,302,R,66,R,2062575,R,6830,R,301,R,65,R,2002297,R,6652,R,41,R,9,R,60278,R,1470,R,55,R,12,R,92830,R,1688,R,113,R,25,R,1135725,R,10051,R,14,R,3,R,121525,R,8680,R,0,R,0,R,0,A,,R,14,R,3,R,121525,R,8680
101295,R,6023,R,4413,R,1610,R,937,R,16,R,6023,R,4413,R,1610,R,937,R,16,A,,A,,A,,A,,A,,R,4061,R,67,R,14234522,R,3505,R,2509,R,57,R,13310426,R,5305,R,1552,R,96,R,924096,R,595,R,2084,R,35,R,10209519,R,4899,R,2077,R,47,R,10193563,R,4908,R,7,R,0,R,15956,R,2279,R,1106,R,18,R,6781229,R,6131,R,1106,R,25,R,6781229,R,6131,R,0,R,0,R,0,A,,R,731,R,78,R,729,R,78,R,661,R,71,R,4164597,R,6300,R,522,R,56,R,3243995,R,6215,R,522,R,56,R,3230195,R,6188,R,27,R,3,R,13800,R,511,R,81,R,9,R,58008,R,716,R,211,R,23,R,862594,R,4088,R,207,R,22,R,1082185,R,5228,R,205,R,22,R,1025046,R,5000,R,3,R,0,R,57139,R,19046
101301,R,1935,R,828,R,1107,R,238,R,12,R,1935,R,828,R,1107,R,238,R,12,A,,A,,A,,A,,A,,R,761,R,39,R,6182404,R,8124,R,706,R,85,R,5992232,R,8488,R,55,R,5,R,190172,R,3458,R,730,R,38,R,5424745,R,7431,R,677,R,82,R,5235208,R,7733,R,53,R,5,R,189537,R,3576,R,0,R,0,R,0,A,,R,0,R,0,R,0,A,,R,0,R,0,R,0,A,,R,224,R,94,R,224,R,94,R,224,R,94,R,2386651,R,10655,R,214,R,90,R,2116510,R,9890,R,214,R,90,R,2002051,R,9355,R,83,R,35,R,114459,R,1379,R,28,R,12,R,14000,R,500,R,46,R,19,R,256141,R,5568,R,0,R,0,R,0,A,,R,0,R,0,R,0,A,,R,0,R,0,R,0,A,
101365,R,446,R,445,R,1,R,19,R,4,R,446,R,445,R,1,R,19,R,4,A,,A,,A,,A,,A,,R,411,R,92,R,2219055,R,5399,R,411,R,92,R,2219055,R,5399,R,0,R,0,R,0,A,,R,302,R,68,R,1223487,R,4051,R,302,R,68,R,1223487,R,4051,R,0,R,0,R,0,A,,R,358,R,80,R,2616210,R,7308,R,358,R,80,R,2616210,R,7308,R,0,R,0,R,0,A,,R,19,R,100,R,19,R,100,R,19,R,100,R,154904,R,8153,R,18,R,95,R,118631,R,6591,R,18,R,95,R,112881,R,6271,R,15,R,79,R,5750,R,383,R,4,R,21,R,2867,R,717,R,14,R,74,R,33406,R,2386,R,16,R,84,R,163515,R,10220,R,16,R,84,R,158515,R,9907,R,1,R,5,R,5000,R,5000
101435,R,866,R,863,R,3,R,309,R,36,R,866,R,863,R,3,R,309,R,36,A,,A,,A,,A,,A,,R,862,R,100,R,15532239,R,18019,R,861,R,100,R,15518739,R,18024,R,1,R,33,R,13500,R,13500,R,347,R,40,R,1954013,R,5631,R,347,R,40,R,1954013,R,5631,R,0,R,0,R,0,A,,R,612,R,71,R,3869541,R,6323,R,612,R,71,R,3869541,R,6323,R,0,R,0,R,0,A,,R,307,R,99,R,307,R,99,R,307,R,99,R,5521123,R,17984,R,148,R,48,R,885487,R,5983,R,141,R,46,R,801811,R,5687,R,75,R,24,R,83676,R,1116,R,216,R,70,R,404570,R,1873,R,307,R,99,R,4231066,R,13782,R,233,R,75,R,1902204,R,8164,R,232,R,75,R,1210022,R,5216,R,56,R,18,R,692182,R,12360
101453,R,70,R,63,R,7,R,5,R,7,R,70,R,63,R,7,R,5,R,7,A,,A,,A,,A,,A,,R,63,R,90,R,415976,R,6603,R,61,R,97,R,415576,R,6813,R,2,R,29,R,400,R,200,R,25,R,36,R,110472,R,4419,R,25,R,40,R,110472,R,4419,R,0,R,0,R,0,A,,R,6,R,9,R,25250,R,4208,R,6,R,10,R,25250,R,4208,R,0,R,0,R,0,A,,R,5,R,100,R,5,R,100,R,5,R,100,R,28520,R,5704,R,2,R,40,R,6659,R,3330,R,2,R,40,R,6659,R,3330,R,0,R,0,R,0,A,,R,0,R,0,R,0,A,,R,5,R,100,R,21861,R,4372,R,1,R,20,R,2750,R,2750,R,1,R,20,R,2750,R,2750,R,0,R,0,R,0,A,
101462,R,1011,R,719,R,292,R,97,R,10,R,1011,R,719,R,292,R,97,R,10,A,,A,,A,,A,,A,,R,817,R,81,R,4052852,R,4961,R,525,R,73,R,3664072,R,6979,R,292,R,100,R,388780,R,1331,R,448,R,44,R,3121072,R,6967,R,446,R,62,R,3114602,R,6983,R,2,R,1,R,6470,R,3235,R,0,R,0,R,0,A,,R,0,R,0,R,0,A,,R,0,R,0,R,0,A,,R,87,R,90,R,81,R,84,R,81,R,84,R,667854,R,8245,R,77,R,79,R,608908,R,7908,R,77,R,79,R,582657,R,7567,R,5,R,5,R,26251,R,5250,R,7,R,7,R,3345,R,478,R,13,R,13,R,55601,R,4277,R,1,R,1,R,5300,R,5300,R,0,R,0,R,0,A,,R,1,R,1,R,5300,R,5300
101471,R,826,R,826,R,0,R,341,R,41,R,826,R,826,R,0,R,341,R,41,A,,A,,A,,A,,A,,R,826,R,100,R,3200525,R,3875,R,826,R,100,R,3200525,R,3875,R,0,Z,0,R,0,A,,R,0,R,0,R,0,A,,R,0,R,0,R,0,A,,R,0,Z,0,R,0,A,,R,0,R,0,R,0,A,,R,0,R,0,R,0,A,,R,0,Z,0,R,0,A,,R,341,R,100,R,341,R,100,R,341,R,100,R,884895,R,2595,R,0,R,0,R,0,A,,R,0,R,0,R,0,A,,Z,0,R,0,Z,0,A,,R,341,R,100,R,884895,R,2595,R,0,R,0,R,0,A,,R,0,R,0,R,0,A,,R,0,R,0,R,0,A,,R,0,R,0,R,0,A,
101480,R,8378,R,7030,R,1348,R,1798,R,21,R,8378,R,7030,R,1348,R,1798,R,21,A,,A,,A,,A,,A,,R,6693,R,80,R,57152375,R,8539,R,6185,R,88,R,56591992,R,9150,R,508,R,38,R,560383,R,1103,R,3569,R,43,R,21728133,R,6088,R,3564,R,51,R,21710544,R,6092,R,5,R,0,R,17589,R,3518,R,3705,R,44,R,30475633,R,8226,R,3705,R,53,R,30475633,R,8226,R,0,R,0,R,0,A,,R,1796,R,100,R,1795,R,100,R,1794,R,100,R,17805632,R,9925,R,1007,R,56,R,6276961,R,6233,R,1007,R,56,R,6143641,R,6101,R,178,R,10,R,133320,R,749,R,431,R,24,R,980203,R,2274,R,1792,R,100,R,10548468,R,5886,R,1023,R,57,R,8063524,R,7882,R,1001,R,56,R,7172603,R,7165,R,98,R,5,R,890921,R,9091
101505,R,8839,R,5443,R,3396,R,789,R,9,R,8839,R,5443,R,3396,R,789,R,9,A,,A,,A,,A,,A,,R,6187,R,70,R,19345851,R,3127,C,3070,C,56,C,18075783,C,5888,C,3117,C,92,C,1270068,C,407,R,3079,R,35,R,12570950,R,4083,R,3070,R,56,R,12561093,R,4092,R,9,R,0,R,9857,R,1095,R,2565,R,29,R,11248412,R,4385,R,2554,R,47,R,11225515,R,4395,R,11,R,0,R,22897,R,2082,R,668,R,85,R,659,R,84,R,555,R,70,R,3497786,R,6302,R,411,R,52,R,2354260,R,5728,R,404,R,51,R,2290260,R,5669,R,51,R,6,R,64000,R,1255,R,193,R,24,R,177606,R,920,R,196,R,25,R,965920,R,4928,R,197,R,25,R,599000,R,3041,R,197,R,25,R,599000,R,3041,R,0,R,0,R,0,A,
101514,R,8736,R,6928,R,1808,R,1175,R,13,R,8736,R,6928,R,1808,R,1175,R,13,A,,A,,A,,A,,A,,R,5327,R,61,R,19242137,R,3612,R,3772,R,54,R,17822655,R,4725,R,1555,R,86,R,1419482,R,913,R,2657,R,30,R,12211192,R,4596,R,2653,R,38,R,12202078,R,4599,R,4,R,0,R,9114,R,2279,R,1567,R,18,R,8869898,R,5660,R,1562,R,23,R,8856147,R,5670,R,5,R,0,R,13751,R,2750,R,888,R,76,R,849,R,72,R,741,R,63,R,4328628,R,5842,R,534,R,45,R,3197267,R,5987,R,520,R,44,R,3066592,R,5897,R,117,R,10,R,130675,R,1117,R,92,R,8,R,176419,R,1918,R,291,R,25,R,954942,R,3282,R,250,R,21,R,1201068,R,4804,R,247,R,21,R,1166348,R,4722,R,5,R,0,R,34720,R,6944
101569,R,3153,R,2720,R,433,R,412,R,13,R,3153,R,2720,R,433,R,412,R,13,A,,A,,A,,A,,A,,R,2594,R,82,R,14627616,R,5639,R,2209,R,81,R,14156899,R,6409,R,385,R,89,R,470717,R,1223,R,1889,R,60,R,11267463,R,5965,R,1887,R,69,R,11263467,R,5969,R,2,R,0,R,3996,R,1998,R,0,R,0,R,0,A,,R,0,R,0,R,0,A,,R,0,R,0,R,0,A,,R,392,R,95,R,392,R,95,R,392,R,95,R,3228368,R,8236,R,348,R,84,R,2471741,R,7103,R,343,R,83,R,2401498,R,7001,R,49,R,12,R,70243,R,1434,R,41,R,10,R,53380,R,1302,R,168,R,41,R,703247,R,4186,R,0,R,0,R,0,A,,R,0,R,0,R,0,A,,R,0,R,0,R,0,A,
101587,R,2673,R,2666,R,7,R,310,R,12,R,2673,R,2666,R,7,R,310,R,12,A,,A,,A,,A,,A,,R,2056,R,77,R,13428845,R,6532,R,2056,R,77,R,13428845,R,6532,R,0,R,0,R,0,A,,R,1555,R,58,R,8816190,R,5670,R,1555,R,58,R,8816190,R,5670,R,0,R,0,R,0,A,,R,1757,R,66,R,14296311,R,8137,R,1757,R,66,R,14296311,R,8137,R,0,R,0,R,0,A,,R,307,R,99,R,307,R,99,R,289,R,93,R,2611621,R,9037,R,252,R,81,R,1373713,R,5451,R,202,R,65,R,1312095,R,6496,R,50,R,16,R,61618,R,1232,R,21,R,7,R,24873,R,1184,R,214,R,69,R,1213035,R,5668,R,221,R,71,R,1926534,R,8717,R,220,R,71,R,1774927,R,8068,R,14,R,5,R,151607,R,10829
