UNITID,EFBAGE,LINE,LSTUDY,XEFAGE01,EFAGE01,XEFAGE02,EFAGE02,XEFAGE03,EFAGE03,XEFAGE04,EFAGE04,XEFAGE05,EFAGE05,XEFAGE06,EFAGE06,XEFAGE07,EFAGE07,XEFAGE08,EFAGE08,XEFAGE09,EFAGE09
100663,1,412,1,R,5719,R,8960,R,2142,R,4084,R,14679,R,6226,R,7861,R,13044,R,20905
100663,1,112,2,R,3517,R,6075,R,900,R,1467,R,9592,R,2367,R,4417,R,7542,R,11959
100663,1,312,5,R,2202,R,2885,R,1242,R,2617,R,5087,R,3859,R,3444,R,5502,R,8946
100663,2,999,1,R,4279,R,6850,R,634,R,976,R,11129,R,1610,R,4913,R,7826,R,12739
100663,2,999,2,R,3243,R,5679,R,431,R,615,R,8922,R,1046,R,3674,R,6294,R,9968
100663,2,999,5,R,1036,R,1171,R,203,R,361,R,2207,R,564,R,1239,R,1532,R,2771
100663,3,1,1,R,27,R,53,R,16,R,27,R,80,R,43,R,43,R,80,R,123
100663,3,1,2,R,27,R,53,R,16,R,27,R,80,R,43,R,43,R,80,R,123
100663,4,2,1,R,1195,R,2418,R,37,R,55,R,3613,R,92,R,1232,R,2473,R,3705
100663,4,2,2,R,1195,R,2417,R,37,R,55,R,3612,R,92,R,1232,R,2472,R,3704
100663,4,2,5,R,0,R,1,R,0,R,0,R,1,R,0,R,0,R,1,R,1
100663,5,3,1,R,1480,R,2592,R,133,R,188,R,4072,R,321,R,1613,R,2780,R,4393
100663,5,3,2,R,1416,R,2530,R,129,R,182,R,3946,R,311,R,1545,R,2712,R,4257
100663,5,3,5,R,64,R,62,R,4,R,6,R,126,R,10,R,68,R,68,R,136
100663,6,4,1,R,1577,R,1787,R,448,R,706,R,3364,R,1154,R,2025,R,2493,R,4518
100663,6,4,2,R,605,R,679,R,249,R,351,R,1284,R,600,R,854,R,1030,R,1884
100663,6,4,5,R,972,R,1108,R,199,R,355,R,2080,R,554,R,1171,R,1463,R,2634
100663,7,999,1,R,1440,R,2110,R,1508,R,3108,R,3550,R,4616,R,2948,R,5218,R,8166
100663,7,999,2,R,274,R,396,R,469,R,852,R,670,R,1321,R,743,R,1248,R,1991
100663,7,999,5,R,1166,R,1714,R,1039,R,2256,R,2880,R,3295,R,2205,R,3970,R,6175
100663,8,5,1,R,952,R,1381,R,538,R,1118,R,2333,R,1656,R,1490,R,2499,R,3989
100663,8,5,2,R,173,R,214,R,188,R,301,R,387,R,489,R,361,R,515,R,876
100663,8,5,5,R,779,R,1167,R,350,R,817,R,1946,R,1167,R,1129,R,1984,R,3113
100663,9,6,1,R,287,R,352,R,319,R,611,R,639,R,930,R,606,R,963,R,1569
100663,9,6,2,R,48,R,80,R,106,R,160,R,128,R,266,R,154,R,240,R,394
100663,9,6,5,R,239,R,272,R,213,R,451,R,511,R,664,R,452,R,723,R,1175
100663,10,7,1,R,113,R,174,R,233,R,431,R,287,R,664,R,346,R,605,R,951
100663,10,7,2,R,30,R,45,R,68,R,129,R,75,R,197,R,98,R,174,R,272
100663,10,7,5,R,83,R,129,R,165,R,302,R,212,R,467,R,248,R,431,R,679
100663,11,8,1,R,65,R,151,R,273,R,623,R,216,R,896,R,338,R,774,R,1112
100663,11,8,2,R,14,R,45,R,74,R,169,R,59,R,243,R,88,R,214,R,302
100663,11,8,5,R,51,R,106,R,199,R,454,R,157,R,653,R,250,R,560,R,810
100663,12,9,1,R,22,R,52,R,137,R,311,R,74,R,448,R,159,R,363,R,522
100663,12,9,2,R,8,R,12,R,31,R,89,R,20,R,120,R,39,R,101,R,140
100663,12,9,5,R,14,R,40,R,106,R,222,R,54,R,328,R,120,R,262,R,382
100663,13,10,1,R,1,R,0,R,8,R,14,R,1,R,22,R,9,R,14,R,23
100663,13,10,2,R,1,R,0,R,2,R,4,R,1,R,6,R,3,R,4,R,7
100663,13,10,5,R,0,R,0,R,6,R,10,R,0,R,16,R,6,R,10,R,16
100706,1,412,1,R,3801,R,2485,R,1287,R,991,R,6286,R,2278,R,5088,R,3476,R,8564
100706,1,112,2,R,3463,R,2210,R,670,R,457,R,5673,R,1127,R,4133,R,2667,R,6800
100706,1,312,5,R,338,R,275,R,617,R,534,R,613,R,1151,R,955,R,809,R,1764
100706,2,999,1,R,3343,R,2119,R,521,R,338,R,5462,R,859,R,3864,R,2457,R,6321
100706,2,999,2,R,3200,R,2007,R,390,R,252,R,5207,R,642,R,3590,R,2259,R,5849
100706,2,999,5,R,143,R,112,R,131,R,86,R,255,R,217,R,274,R,198,R,472
100706,3,1,1,R,31,R,35,R,84,R,67,R,66,R,151,R,115,R,102,R,217
100706,3,1,2,R,31,R,35,R,84,R,67,R,66,R,151,R,115,R,102,R,217
100706,4,2,1,R,1319,R,815,R,20,R,20,R,2134,R,40,R,1339,R,835,R,2174
100706,4,2,2,R,1319,R,815,R,20,R,20,R,2134,R,40,R,1339,R,835,R,2174
100706,5,3,1,R,1291,R,814,R,74,R,52,R,2105,R,126,R,1365,R,866,R,2231
100706,5,3,2,R,1283,R,812,R,71,R,48,R,2095,R,119,R,1354,R,860,R,2214
100706,5,3,5,R,8,R,2,R,3,R,4,R,10,R,7,R,11,R,6,R,17
100706,6,4,1,R,702,R,455,R,343,R,199,R,1157,R,542,R,1045,R,654,R,1699
100706,6,4,2,R,567,R,345,R,215,R,117,R,912,R,332,R,782,R,462,R,1244
100706,6,4,5,R,135,R,110,R,128,R,82,R,245,R,210,R,263,R,192,R,455
100706,7,999,1,R,458,R,366,R,766,R,653,R,824,R,1419,R,1224,R,1019,R,2243
100706,7,999,2,R,263,R,203,R,280,R,205,R,466,R,485,R,543,R,408,R,951
100706,7,999,5,R,195,R,163,R,486,R,448,R,358,R,934,R,681,R,611,R,1292
100706,8,5,1,R,249,R,189,R,413,R,229,R,438,R,642,R,662,R,418,R,1080
100706,8,5,2,R,152,R,103,R,144,R,80,R,255,R,224,R,296,R,183,R,479
100706,8,5,5,R,97,R,86,R,269,R,149,R,183,R,418,R,366,R,235,R,601
100706,9,6,1,R,122,R,80,R,144,R,125,R,202,R,269,R,266,R,205,R,471
100706,9,6,2,R,61,R,44,R,65,R,50,R,105,R,115,R,126,R,94,R,220
100706,9,6,5,R,61,R,36,R,79,R,75,R,97,R,154,R,140,R,111,R,251
100706,10,7,1,R,52,R,37,R,71,R,93,R,89,R,164,R,123,R,130,R,253
100706,10,7,2,R,30,R,21,R,33,R,25,R,51,R,58,R,63,R,46,R,109
100706,10,7,5,R,22,R,16,R,38,R,68,R,38,R,106,R,60,R,84,R,144
100706,11,8,1,R,28,R,46,R,82,R,128,R,74,R,210,R,110,R,174,R,284
100706,11,8,2,R,18,R,26,R,21,R,33,R,44,R,54,R,39,R,59,R,98
100706,11,8,5,R,10,R,20,R,61,R,95,R,30,R,156,R,71,R,115,R,186
100706,12,9,1,R,7,R,14,R,46,R,74,R,21,R,120,R,53,R,88,R,141
100706,12,9,2,R,2,R,9,R,13,R,16,R,11,R,29,R,15,R,25,R,40
100706,12,9,5,R,5,R,5,R,33,R,58,R,10,R,91,R,38,R,63,R,101
100706,13,10,1,R,0,R,0,R,10,R,4,R,0,R,14,R,10,R,4,R,14
100706,13,10,2,R,0,R,0,R,4,R,1,R,0,R,5,R,4,R,1,R,5
100706,13,10,5,R,0,R,0,R,6,R,3,R,0,R,9,R,6,R,3,R,9
100724,1,412,1,R,1295,R,2332,R,158,R,296,R,3627,R,454,R,1453,R,2628,R,4081
100724,1,112,2,R,1177,R,2066,R,106,R,172,R,3243,R,278,R,1283,R,2238,R,3521
100724,1,312,5,R,118,R,266,R,52,R,124,R,384,R,176,R,170,R,390,R,560
100724,2,999,1,R,1145,R,2098,R,94,R,136,R,3243,R,230,R,1239,R,2234,R,3473
100724,2,999,2,R,1105,R,1973,R,84,R,126,R,3078,R,210,R,1189,R,2099,R,3288
100724,2,999,5,R,40,R,125,R,10,R,10,R,165,R,20,R,50,R,135,R,185
100724,3,1,1,R,24,R,78,R,19,R,34,R,102,R,53,R,43,R,112,R,155
100724,3,1,2,R,24,R,78,R,19,R,34,R,102,R,53,R,43,R,112,R,155
100724,4,2,1,R,569,R,1033,R,12,R,19,R,1602,R,31,R,581,R,1052,R,1633
100724,4,2,2,R,569,R,1033,R,12,R,18,R,1602,R,30,R,581,R,1051,R,1632
100724,4,2,5,R,0,R,0,R,0,R,1,R,0,R,1,R,0,R,1,R,1
100724,5,3,1,R,319,R,612,R,19,R,35,R,931,R,54,R,338,R,647,R,985
100724,5,3,2,R,317,R,607,R,19,R,34,R,924,R,53,R,336,R,641,R,977
100724,5,3,5,R,2,R,5,R,0,R,1,R,7,R,1,R,2,R,6,R,8
100724,6,4,1,R,233,R,375,R,44,R,48,R,608,R,92,R,277,R,423,R,700
100724,6,4,2,R,195,R,255,R,34,R,40,R,450,R,74,R,229,R,295,R,524
100724,6,4,5,R,38,R,120,R,10,R,8,R,158,R,18,R,48,R,128,R,176
100724,7,999,1,R,150,R,234,R,64,R,160,R,384,R,224,R,214,R,394,R,608
100724,7,999,2,R,72,R,93,R,22,R,46,R,165,R,68,R,94,R,139,R,233
100724,7,999,5,R,78,R,141,R,42,R,114,R,219,R,156,R,120,R,255,R,375
100724,8,5,1,R,88,R,133,R,20,R,42,R,221,R,62,R,108,R,175,R,283
100724,8,5,2,R,49,R,57,R,15,R,20,R,106,R,35,R,64,R,77,R,141
100724,8,5,5,R,39,R,76,R,5,R,22,R,115,R,27,R,44,R,98,R,142
100724,9,6,1,R,32,R,26,R,14,R,32,R,58,R,46,R,46,R,58,R,104
100724,9,6,2,R,18,R,11,R,2,R,11,R,29,R,13,R,20,R,22,R,42
100724,9,6,5,R,14,R,15,R,12,R,21,R,29,R,33,R,26,R,36,R,62
100724,10,7,1,R,11,R,19,R,10,R,27,R,30,R,37,R,21,R,46,R,67
100724,10,7,2,R,2,R,5,R,1,R,3,R,7,R,4,R,3,R,8,R,11
100724,10,7,5,R,9,R,14,R,9,R,24,R,23,R,33,R,18,R,38,R,56
100724,11,8,1,R,11,R,36,R,10,R,26,R,47,R,36,R,21,R,62,R,83
100724,11,8,2,R,2,R,9,R,0,R,5,R,11,R,5,R,2,R,14,R,16
100724,11,8,5,R,9,R,27,R,10,R,21,R,36,R,31,R,19,R,48,R,67
100724,12,9,1,R,8,R,20,R,9,R,33,R,28,R,42,R,17,R,53,R,70
100724,12,9,2,R,1,R,11,R,3,R,7,R,12,R,10,R,4,R,18,R,22
100724,12,9,5,R,7,R,9,R,6,R,26,R,16,R,32,R,13,R,35,R,48
100724,13,10,1,R,0,R,0,R,1,R,0,R,0,R,1,R,1,R,0,R,1
100724,13,10,2,R,0,R,0,R,1,R,0,R,0,R,1,R,1,R,0,R,1
100751,1,412,1,R,15178,R,19730,R,2190,R,3748,R,34908,R,5938,R,17368,R,23478,R,40846
100751,1,112,2,R,13582,R,17456,R,1388,R,1963,R,31038,R,3351,R,14970,R,19419,R,34389
100751,1,312,5,R,1596,R,2274,R,802,R,1785,R,3870,R,2587,R,2398,R,4059,R,6457
100751,2,999,1,R,13929,R,18136,R,901,R,1434,R,32065,R,2335,R,14830,R,19570,R,34400
100751,2,999,2,R,13278,R,17104,R,821,R,1214,R,30382,R,2035,R,14099,R,18318,R,32417
100751,2,999,5,R,651,R,1032,R,80,R,220,R,1683,R,300,R,731,R,1252,R,1983
100751,3,1,1,R,97,R,192,R,320,R,650,R,289,R,970,R,417,R,842,R,1259
100751,3,1,2,R,97,R,192,R,320,R,650,R,289,R,970,R,417,R,842,R,1259
100751,4,2,1,R,5988,R,8583,R,95,R,94,R,14571,R,189,R,6083,R,8677,R,14760
100751,4,2,2,R,5988,R,8581,R,95,R,94,R,14569,R,189,R,6083,R,8675,R,14758
100751,4,2,5,Z,0,R,2,Z,0,Z,0,R,2,Z,0,Z,0,R,2,R,2
100751,5,3,1,R,5661,R,7324,R,140,R,193,R,12985,R,333,R,5801,R,7517,R,13318
100751,5,3,2,R,5602,R,7229,R,137,R,186,R,12831,R,323,R,5739,R,7415,R,13154
100751,5,3,5,R,59,R,95,R,3,R,7,R,154,R,10,R,62,R,102,R,164
100751,6,4,1,R,2183,R,2037,R,346,R,497,R,4220,R,843,R,2529,R,2534,R,5063
100751,6,4,2,R,1591,R,1102,R,269,R,284,R,2693,R,553,R,1860,R,1386,R,3246
100751,6,4,5,R,592,R,935,R,77,R,213,R,1527,R,290,R,669,R,1148,R,1817
100751,7,999,1,R,1249,R,1594,R,1289,R,2314,R,2843,R,3603,R,2538,R,3908,R,6446
100751,7,999,2,R,304,R,352,R,567,R,749,R,656,R,1316,R,871,R,1101,R,1972
100751,7,999,5,R,945,R,1242,R,722,R,1565,R,2187,R,2287,R,1667,R,2807,R,4474
100751,8,5,1,R,626,R,773,R,379,R,574,R,1399,R,953,R,1005,R,1347,R,2352
100751,8,5,2,R,182,R,155,R,189,R,203,R,337,R,392,R,371,R,358,R,729
100751,8,5,5,R,444,R,618,R,190,R,371,R,1062,R,561,R,634,R,989,R,1623
100751,9,6,1,R,337,R,317,R,265,R,442,R,654,R,707,R,602,R,759,R,1361
100751,9,6,2,R,58,R,71,R,111,R,146,R,129,R,257,R,169,R,217,R,386
100751,9,6,5,R,279,R,246,R,154,R,296,R,525,R,450,R,433,R,542,R,975
100751,10,7,1,R,141,R,195,R,233,R,394,R,336,R,627,R,374,R,589,R,963
100751,10,7,2,R,27,R,50,R,98,R,131,R,77,R,229,R,125,R,181,R,306
100751,10,7,5,R,114,R,145,R,135,R,263,R,259,R,398,R,249,R,408,R,657
100751,11,8,1,R,106,R,229,R,262,R,594,R,335,R,856,R,368,R,823,R,1191
100751,11,8,2,R,27,R,52,R,111,R,171,R,79,R,282,R,138,R,223,R,361
100751,11,8,5,R,79,R,177,R,151,R,423,R,256,R,574,R,230,R,600,R,830
100751,12,9,1,R,37,R,74,R,137,R,294,R,111,R,431,R,174,R,368,R,542
100751,12,9,2,R,10,R,23,R,52,R,91,R,33,R,143,R,62,R,114,R,176
100751,12,9,5,R,27,R,51,R,85,R,203,R,78,R,288,R,112,R,254,R,366
100751,13,10,1,R,2,R,6,R,13,R,16,R,8,R,29,R,15,R,22,R,37
100751,13,10,2,Z,0,R,1,R,6,R,7,R,1,R,13,R,6,R,8,R,14
100751,13,10,5,R,2,R,5,R,7,R,9,R,7,R,16,R,9,R,14,R,23
100760,1,412,1,R,235,R,345,R,600,R,960,R,580,R,1560,R,835,R,1305,R,2140
100760,1,112,2,R,235,R,345,R,600,R,960,R,580,R,1560,R,835,R,1305,R,2140
100760,2,999,1,R,219,R,268,R,554,R,701,R,487,R,1255,R,773,R,969,R,1742
100760,2,999,2,R,219,R,268,R,554,R,701,R,487,R,1255,R,773,R,969,R,1742
100760,3,1,1,R,3,R,23,R,382,R,462,R,26,R,844,R,385,R,485,R,870
100760,3,1,2,R,3,R,23,R,382,R,462,R,26,R,844,R,385,R,485,R,870
