UNITID,EFFYDLEV,XEYDETOT,EFYDETOT,XEYDEEXC,EFYDEEXC,XEYDESOM,EFYDESOM,XEYDENON,EFYDENON
101514,1,R,13318,R,6474,R,3371,R,3473
101514,2,R,13318,R,6474,R,3371,R,3473
101514,3,R,9012,R,4034,R,3166,R,1812
101514,11,R,4306,R,2440,R,205,R,1661
101569,1,R,4739,R,1681,R,1818,R,1240
101569,2,R,4739,R,1681,R,1818,R,1240
101569,3,R,3739,R,1045,R,1715,R,979
101569,11,R,1000,R,636,R,103,R,261
101587,1,R,9464,R,8019,R,991,R,454
101587,2,R,3579,R,2307,R,829,R,443
101587,3,R,3471,R,2276,R,827,R,368
101587,11,R,108,R,31,R,2,R,75
101587,12,R,5885,R,5712,R,162,R,11
101602,1,R,2821,R,918,R,1142,R,761
101602,2,R,2821,R,918,R,1142,R,761
101602,3,R,1458,R,316,R,855,R,287
101602,11,R,1363,R,602,R,287,R,474
101648,1,R,325,R,0,R,174,R,151
101648,2,R,325,R,0,R,174,R,151
101648,3,R,325,R,0,R,174,R,151
101675,1,R,1617,R,647,R,534,R,436
101675,2,R,1617,R,647,R,534,R,436
101675,3,R,1582,R,647,R,534,R,401
101675,11,R,35,R,0,R,0,R,35
101693,1,R,1994,R,173,R,188,R,1633
101693,2,R,1737,R,62,R,168,R,1507
101693,3,R,1122,R,62,R,168,R,892
101693,11,R,615,R,0,R,0,R,615
101693,12,R,257,R,111,R,20,R,126
101709,1,R,3860,R,1217,R,1952,R,691
101709,2,R,3286,R,985,R,1691,R,610
101709,3,R,2828,R,558,R,1686,R,584
101709,11,R,458,R,427,R,5,R,26
101709,12,R,574,R,232,R,261,R,81
101736,1,R,5676,R,1138,R,1709,R,2829
101736,2,R,5676,R,1138,R,1709,R,2829
101736,3,R,2499,R,561,R,1282,R,656
101736,11,R,3177,R,577,R,427,R,2173
101879,1,R,12537,R,4954,R,4812,R,2771
101879,2,R,8855,R,1856,R,4500,R,2499
101879,3,R,6237,R,1283,R,4259,R,695
101879,11,R,2618,R,573,R,241,R,1804
101879,12,R,3682,R,3098,R,312,R,272
101897,1,R,4009,R,1293,R,1719,R,997
101897,2,R,4009,R,1293,R,1719,R,997
101897,3,R,2017,R,456,R,1150,R,411
101897,11,R,1992,R,837,R,569,R,586
101912,1,R,1459,R,114,R,785,R,560
101912,2,R,1407,R,62,R,785,R,560
101912,3,R,1361,R,62,R,759,R,540
101912,11,R,46,R,0,R,26,R,20
101912,12,R,52,R,52,Z,0,R,0
101994,1,R,697,R,28,R,363,R,306
101994,2,R,697,R,28,R,363,R,306
101994,3,R,506,R,13,R,312,R,181
101994,11,R,191,R,15,R,51,R,125
102030,1,R,4895,R,869,R,1714,R,2312
102030,2,R,4895,R,869,R,1714,R,2312
102030,3,R,2973,R,519,R,1421,R,1033
102030,11,R,1922,R,350,R,293,R,1279
102049,1,R,6227,R,455,R,2761,R,3011
102049,2,R,3936,R,67,R,1688,R,2181
102049,3,R,3925,R,61,R,1688,R,2176
102049,11,R,11,R,6,R,0,R,5
102049,12,R,2291,R,388,R,1073,R,830
102058,1,R,92,R,0,R,90,R,2
102058,2,R,78,R,0,R,78,R,0
102058,3,R,36,R,0,R,36,R,0
102058,11,R,42,R,0,R,42,R,0
